名前,生年月日,血液型,身長,合格期,選抜回数
入山杏奈,1995/12/03,B,160.2,10期生,13回
大家志津香,1991/12/28,O,167.0,4期生,5回
小嶋菜月,1995/03/08,A,155.0,11期生,0回
佐々木優佳里,1995/08/28,B,158.0,12期生,1回
白間美瑠,1997/10/14,B,160.0,1期生,NMB48 16回 AKB48 6回
田北香世子,1997/02/13,O,157.0,ドラフト1期生,0回
谷口めぐ,1998/11/12,A,159.0,15期生,0回
中西智代梨,1995/05/12,O,160.0,HKT48 1期生,AKB48 0回 HKT48 2回
樋渡結依,2000/04/30,A,151.0,ドラフト2期生,1回
宮崎美穂,1993/07/30,O,160.0,5期生,10回
宮脇咲良,1998/03/19,A,163.0,1期生,HKT48 10回 AKB48 17回
横山由依,1992/12/08,B,159.0,9期生,AKB48 28回 NMB48 1回
阿部マリア,1995/11/29,B,168.0,10期生,4回
市川愛美,1999/08/26,A,157.0,15期生,0回
久保怜音,2003/11/20,O,157.0,ドラフト2期生,1回
兒玉遥,1996/09/19,O,158.0,1期生,HKT48 10回 AKB48 11回
篠崎彩奈,1996/01/08,B,154.0,13期生,0回
下口ひなな,2001/07/19,O,161.0,ドラフト1期生,
田野優花,1997/03/07,O,150.0,12期生,3回
藤田奈那,1996/12/28,A,164.0,10期生,0回
峯岸みなみ,1992/11/15,B,158.0,1期生,39回（インディーズ1曲含む）
向井地美音,1998/01/29,O,150.0,15期生,9回
武藤十夢,1994/11/25,B,156.0,12期生,7回
茂木忍,1997/02/16,AB,162.0,13期生,0回
湯本亜美,1997/10/03,O,156.0,15期生,1回
柏木由紀,1991/07/15,B,164.0,3期生,AKB48 40回 NMB48 2回 NGT48 2回
加藤玲奈,1997/07/10,B,160.0,10期生,11回
後藤萌咲,2001/05/20,O,168.0,ドラフト1期生,0回
竹内美宥,1996/01/12,O,154.5,9期生,2回
達家真姫宝,2001/10/19,B,161.7,15期生,0回
西川怜,2003/10/25,B,149.0,ドラフト2期生,0回
福岡聖菜,2000/08/01,O,155.0,15期生,0回
馬嘉伶,1996/12/21,不明,158.0,AKB48台湾オーディション,
矢吹奈子,2001/06/18,不明,148.1,3期生,HKT48 7回 AKB48 0回
山邊歩夢,2002/02/03,B,149.0,ドラフト2期生,0回
渡辺麻友,1994/03/26,AB,156.0,3期生,43回
飯野雅,1997/09/29,B,164.0,15期生,0回
岩立沙穂,1994/10/04,B,157.0,13期生,0回
大川莉央,2001/03/01,A,160.0,15期生,0回
大森美優,1998/09/03,B,161.0,12期生,0回
岡田奈々,1997/11/07,A,155.0,14期生,AKB48 9回 STU48 1回
川本紗矢,1998/08/31,B,155.0,ドラフト1期生,6回
北川綾巴,1998/10/09,B,163.0,6期生,SKE48 10回 AKB48 3回
北澤早紀,1997/06/05,A,151.0,13期生,0回
小嶋真子,1997/05/30,O,160.0,14期生,10回
込山榛香,1998/09/12,B,154.0,15期生,3回
佐藤妃星,2000/08/11,B,150.0,15期生,0回
渋谷凪咲,1996/08/25,A,163.2,4期生,NMB48 8回 AKB48 1回
高橋朱里,1997/10/03,A,158.5,12期生,11回
千葉恵里,2003/10/27,不明,160.0,ドラフト2期生,0回
朝長美桜,1998/05/17,O,154.0,2期生,HKT48 10回 AKB48 3回
野澤玲奈,1998/05/06,B,168.0,JKT48 1期生,AKB48 0回 JKT48 2回
村山彩希,1997/06/15,O,155.0,13期生,0回
坂口渚沙,2000/12/23,A,149.0,チーム8,1回
横山結衣,2001/02/22,O,159.0,チーム8,0回
谷川聖,2000/12/26,A,160.0,チーム8,0回
佐藤七海,2000/01/19,A,162.0,チーム8,0回
早坂つむぎ,2001/05/12,B,163.5,チーム8,0回
佐藤朱,1996/11/09,A,170.5,チーム8,0回
舞木香純,1997/04/28,O,162.7,チーム8,0回
岡部麟,1996/11/07,不明,158.4,チーム8,1回
本田仁美,2001/10/06,A,158.1,チーム8,0回
清水麻璃亜,1997/09/29,A,158.3,チーム8,0回
