名前,グループ,チーム,公式ニックネーム,所属事務所,生年月日,年齢,出身地,血液型,身長(cm),スリーサイズ,合格期,選抜回数,グループ(兼任),チーム(兼任),サイリウム
入山杏奈,AKB48,チームA,あんにん,太田プロダクション,1995/12/03,21,千葉県,B,160.2,B78 W57 H83,10期生,13回,,,
大家志津香,AKB48,チームA,しいちゃん,ワタナベエンターテインメント,1991/12/28,25,福岡県,O,167,,4期生,5回,,,
小嶋菜月,AKB48,チームA,なっつん,AKS,1995/03/08,22,千葉県,A,155,,11期生,0回,,,
佐々木優佳里,AKB48,チームA,ゆかるん,AKS,1995/08/28,22,埼玉県,B,158,,12期生,1回,,,
白間美瑠,NMB48,チームM,みるるん,Showtitle,1997/10/14,20,大阪府,B,160,,1期生,NMB48 16回 AKB48 6回,AKB48,チームA,
田北香世子,AKB48,チームA,かよよん,AKS,1997/02/13,20,千葉県,O,157,,ドラフト1期生,0回,,,
谷口めぐ,AKB48,チームA,おめぐ,AKS,1998/11/12,19,東京都,A,159,,15期生,0回,,,
中西智代梨,AKB48,チームA,ちょり,AKS,1995/05/12,22,福岡県,O,160,,HKT48 1期生,AKB48 0回 HKT48 2回,,,
樋渡結依,AKB48,チームA,ひーわたん,,2000/04/30,17,埼玉県,A,151,,ドラフト2期生,1回,,,
宮崎美穂,AKB48,チームA,みゃお,ホリプロ,1993/07/30,24,東京都,O,160,B77 W58 H83,5期生,10回,,,
宮脇咲良,HKT48,チームKIV,さくら,AKS,1998/03/19,19,鹿児島県,A,163,,1期生,HKT48 10回 AKB48 17回,AKB48,チームA,
横山由依,AKB48,チームA,ゆいはん,太田プロダクション,1992/12/08,24,京都府,B,159,B74 W58 H86,9期生,AKB48 28回 NMB48 1回,,,
阿部マリア,AKB48,チームK,あべまる,ジャパン・ミュージックエンターテインメント,1995/11/29,21,神奈川県,B,168,,10期生,4回,,,
市川愛美,AKB48,チームK,まなみ,AKS,1999/08/26,18,東京都,A,157,,15期生,0回,,,
久保怜音,AKB48,チームK,さとぴー,AKS,2003/11/20,14,神奈川県,O,157,,ドラフト2期生,1回,,,
兒玉遥,HKT48,チームH,はるっぴ,AKS,1996/09/19,21,福岡県,O,158,,1期生,HKT48 10回 AKB48 11回,AKB48,チームK,
篠崎彩奈,AKB48,チームK,あやなん,AKS,1996/01/08,21,埼玉県,B,154,,13期生,0回,,,
下口ひなな,AKB48,チームK,ひなな,AKS,2001/07/19,16,千葉県,O,161,,ドラフト1期生,,,,
