ホーム,アウェイ,ホームスコア,アウェイスコア
清水エスパルス,コンサドーレ札幌,0,2
アルビレックス新潟,ヴァンフォーレ甲府,1,0
ヴィッセル神戸,サンフレッチェ広島,1,2
サガン鳥栖,FC東京,2,1
ベガルタ仙台,大宮アルディージャ,3,0
横浜F・マリノス,セレッソ大阪,1,4
川崎フロンターレ,ガンバ大阪,1,0
柏レイソル,ジュビロ磐田,1,0
鹿島アントラーズ,浦和レッズ,1,0
FC東京,清水エスパルス,0,0
ヴァンフォーレ甲府,ヴィッセル神戸,2,3
ガンバ大阪,ベガルタ仙台,1,1
コンサドーレ札幌,鹿島アントラーズ,1,2
サンフレッチェ広島,浦和レッズ,0,1
セレッソ大阪,大宮アルディージャ,2,1
柏レイソル,川崎フロンターレ,2,2
ジュビロ磐田,横浜F・マリノス,2,1
アルビレックス新潟,サガン鳥栖,1,0
浦和レッズ,ガンバ大阪,3,3
横浜F・マリノス,鹿島アントラーズ,3,2
FC東京,コンサドーレ札幌,1,2
ジュビロ磐田,アルビレックス新潟,2,2
ヴィッセル神戸,サガン鳥栖,1,2
サンフレッチェ広島,川崎フロンターレ,0,3
セレッソ大阪,ヴァンフォーレ甲府,2,0
ベガルタ仙台,清水エスパルス,0,0
大宮アルディージャ,柏レイソル,1,1
サガン鳥栖,セレッソ大阪,1,2
ヴァンフォーレ甲府,FC東京,1,1
浦和レッズ,ヴィッセル神戸,1,1
鹿島アントラーズ,サンフレッチェ広島,2,0
川崎フロンターレ,ベガルタ仙台,3,2
ガンバ大阪,アルビレックス新潟,0,1
横浜F・マリノス,大宮アルディージャ,1,1
清水エスパルス,ジュビロ磐田,0,3
コンサドーレ札幌,柏レイソル,3,0
ベガルタ仙台,浦和レッズ,2,3
ガンバ大阪,横浜F・マリノス,1,2
川崎フロンターレ,セレッソ大阪,5,1
大宮アルディージャ,清水エスパルス,0,0
FC東京,ジュビロ磐田,0,0
サンフレッチェ広島,コンサドーレ札幌,1,1
柏レイソル,ヴァンフォーレ甲府,0,1
アルビレックス新潟,ヴィッセル神戸,0,2
サガン鳥栖,鹿島アントラーズ,1,0
ヴィッセル神戸,川崎フロンターレ,0,0
セレッソ大阪,ベガルタ仙台,1,4
鹿島アントラーズ,ガンバ大阪,2,1
ヴァンフォーレ甲府,横浜F・マリノス,3,2
ジュビロ磐田,大宮アルディージャ,2,1
