チーム,ポジション,背番号,名前,生年月日,身長,体重
川崎フロンターレ,GK,1,チョン　ソンリョン,1985/01/04,191,90
川崎フロンターレ,GK,24,安藤　駿介,1990/08/10,185,79
川崎フロンターレ,GK,30,新井　章太,1988/11/01,185,82
川崎フロンターレ,GK,31,ポープ　ウィリアム,1994/10/21,192,89
川崎フロンターレ,DF,2,登里　享平,1990/11/13,168,68
川崎フロンターレ,DF,3,奈良　竜樹,1993/09/19,180,77
川崎フロンターレ,DF,4,井川　祐輔,1982/10/30,182,81
川崎フロンターレ,DF,7,車屋　紳太郎,1992/04/05,178,73
川崎フロンターレ,DF,17,武岡　優斗,1986/06/24,178,73
川崎フロンターレ,DF,18,エウシーニョ,1989/11/30,180,78
川崎フロンターレ,DF,23,エドゥアルド,1993/04/27,184,84
川崎フロンターレ,DF,26,タビナス　ジェファーソン,1998/08/07,182,77
川崎フロンターレ,DF,28,板倉　滉,1997/01/27,186,75
川崎フロンターレ,DF,29,舞行龍ジェームズ,1988/09/17,185,82
川崎フロンターレ,MF,5,谷口　彰悟,1991/07/15,183,72
川崎フロンターレ,MF,6,田坂　祐介,1985/07/08,174,69
川崎フロンターレ,MF,8,阿部　浩之,1989/07/05,170,69
川崎フロンターレ,MF,10,大島　僚太,1993/01/23,168,64
川崎フロンターレ,MF,13,三好　康児,1997/03/26,167,64
川崎フロンターレ,MF,14,中村　憲剛,1980/10/31,175,66
川崎フロンターレ,MF,16,長谷川　竜也,1994/03/07,164,58
川崎フロンターレ,MF,19,森谷　賢太郎,1988/09/21,173,65
川崎フロンターレ,MF,21,エドゥアルド　ネット,1988/10/24,185,76
川崎フロンターレ,MF,25,狩野　健太,1986/05/02,177,70
川崎フロンターレ,MF,32,田中　碧,1998/09/10,177,69
川崎フロンターレ,MF,33,脇坂　泰斗,1995/06/11,172,65
川崎フロンターレ,MF,34,守田　英正,1995/05/10,177,74
川崎フロンターレ,MF,35,三笘　薫,1997/05/20,178,66
川崎フロンターレ,MF,41,家長　昭博,1986/06/13,173,70
川崎フロンターレ,FW,9,森本　貴幸,1988/05/07,180,77
川崎フロンターレ,FW,11,小林　悠,1987/09/23,177,72
川崎フロンターレ,FW,20,知念　慶,1995/03/17,177,71
川崎フロンターレ,FW,22,ハイネル,1990/09/05,172,65
川崎フロンターレ,FW,27,大塚　翔平,1990/04/11,177,72
鹿島アントラーズ,GK,1,クォン　スンテ,1984/09/11,184,85
鹿島アントラーズ,GK,21,曽ヶ端　準,1979/08/02,187,80
鹿島アントラーズ,GK,29,川俣　慎一郎,1989/07/23,188,86
鹿島アントラーズ,DF,3,昌子　源,1992/12/11,182,74
鹿島アントラーズ,DF,5,植田　直通,1994/10/24,186,79
鹿島アントラーズ,DF,15,三竿　雄斗,1991/04/16,175,70
鹿島アントラーズ,DF,16,山本　脩斗,1985/06/01,180,69
鹿島アントラーズ,DF,17,ブエノ,1995/08/24,182,79
鹿島アントラーズ,DF,22,西　大伍,1987/08/28,176,73
