開催日,試合名,勝敗,得点,失点,PK,スコア,対戦チーム,会場
2017/11/14,国際親善試合,●,0,1,,●0-1,ベルギー,ヤン・ブレイデルスタディオン
2017/11/10,国際親善試合,●,1,3,,●1-3,ブラジル,スタッド・ピエール・モーロワ
2017/10/10,キリンチャレンジカップ2017,△,3,3,,△3-3,ハイチ,日産スタジアム
2017/10/06,キリンチャレンジカップ2017,○,2,1,,○2-1,ニュージーランド,豊田スタジアム
2017/09/05,アジア最終予選（Road to Russia）,●,0,1,,●0-1,サウジアラビア,キング・アブドゥラー・スポーツ・シティー
2017/08/31,アジア最終予選（Road to Russia）,○,2,0,,○2-0,オーストラリア,埼玉スタジアム２００２
2017/06/13,アジア最終予選（Road to Russia）,△,1,1,,△1-1,イラク,PAS Stadium
2017/06/07,キリンチャレンジカップ2017,△,1,1,,△1-1,シリア,東京スタジアム
2017/03/28,アジア最終予選（Road to Russia）,○,4,0,,○4-0,タイ,埼玉スタジアム２００２
2017/03/23,アジア最終予選（Road to Russia）,○,2,0,,○2-0,アラブ首長国連邦（UAE）,Hazza Bin Zayed Stadium
2016/11/15,アジア最終予選（Road to Russia）,○,2,1,,○2-1,サウジアラビア,埼玉スタジアム２００２
2016/11/11,キリンチャレンジカップ2016,○,4,0,,○4-0,オマーン,茨城／茨城県立カシマサッカースタジアム
2016/10/11,アジア最終予選（Road to Russia）,△,1,1,,△1-1,オーストラリア,ドックランズスタジアム
2016/10/06,アジア最終予選（Road to Russia）,○,2,1,,○2-1,イラク,埼玉スタジアム２００２
2016/09/06,アジア最終予選（Road to Russia）,○,2,0,,○2-0,タイ,ラジャマンガラスタジアム
2016/09/01,アジア最終予選（Road to Russia）,●,1,2,,●1-2,アラブ首長国連邦（UAE）,埼玉スタジアム２００２
2016/06/07,キリンカップサッカー2016,●,1,2,,●1-2,ボスニア・ヘルツェゴビナ,市立吹田サッカースタジアム
2016/06/03,キリンカップサッカー2016,○,7,2,,○7-2,ブルガリア,豊田スタジアム
2016/03/29,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,5,0,,○5-0,シリア,埼玉／埼玉スタジアム２００２
2016/03/24,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,5,0,,○5-0,アフガニスタン,埼玉／埼玉スタジアム２００２
2015/11/17,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,2,0,,○2-0,カンボジア,National Olympic Stadium
2015/11/12,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,3,0,,○3-0,シンガポール,National Stadium
2015/10/13,国際親善試合,△,1,1,,△1-1,イラン,イラン／アザディスタジアム
2015/10/08,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,3,0,,○3-0,シリア,Seeb Stadium
2015/09/08,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,6,0,,○6-0,アフガニスタン,Azadi stadium
2015/09/03,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,○,3,0,,○3-0,カンボジア,埼玉／埼玉スタジアム２００２
2015/08/09,EAFF東アジアカップ2015決勝大会,△,1,1,,△1-1,中国,Wuhan Sports Center Stadium
2015/08/05,EAFF東アジアカップ2015決勝大会,△,1,1,,△1-1,韓国,Wuhan Sports Center Stadium
2015/08/02,EAFF東アジアカップ2015決勝大会,●,1,2,,●1-2,朝鮮民主主義人民共和国,Wuhan Sports Center Stadium
2015/06/16,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,△,0,0,,△0-0,シンガポール,埼玉／埼玉スタジアム２００２
2015/06/11,キリンチャレンジカップ2015,○,4,0,,○4-0,イラク,神奈川／日産スタジアム
2015/03/31,JALチャレンジカップ2015,○,5,1,,○5-1,ウズベキスタン,東京／東京スタジアム
2015/03/27,キリンチャレンジカップ2015,○,2,0,,○2-0,チュニジア,大分／大分スポーツ公園総合競技場
2015/01/23,AFCアジアカップオーストラリア2015,●,1,1,PK4-5,●1-1 (PK4-5),アラブ首長国連邦,Stadium Australia
2015/01/20,AFCアジアカップオーストラリア2015,○,2,0,,○2-0,ヨルダン,Melbourne Rectangular Stadium
2015/01/16,AFCアジアカップオーストラリア2015,○,1,0,,○1-0,イラク,Brisbane Stadium
2015/01/12,AFCアジアカップオーストラリア2015,○,4,0,,○4-0,パレスチナ,Newcastle Stadium
2014/11/18,キリンチャレンジカップ2014,○,2,1,,○2-1,オーストラリア,大阪／ヤンマースタジアム長居
2014/11/14,キリンチャレンジカップ2014,○,6,0,,○6-0,ホンジュラス,愛知／豊田スタジアム
2014/10/14,国際親善試合,●,0,4,,●0-4,ブラジル,シンガポール／The Singapore National Stadium
2014/10/10,キリンチャレンジカップ2014,○,1,0,,○1-0,ジャマイカ,新潟／デンカビッグスワンスタジアム
2014/09/09,キリンチャレンジカップ2014,△,2,2,,△2-2,ベネズエラ,神奈川／横浜国際総合競技場
2014/09/05,キリンチャレンジカップ2014,●,0,2,,●0-2,ウルグアイ,北海道／札幌ドーム
2014/06/24,2014 FIFA World Cup Brazil,●,1,4,,●1-4,コロンビア,Cuiaba／Arena Pantanal
2014/06/19,2014 FIFA World Cup Brazil,△,0,0,,△0-0,ギリシャ,Natal／Estadio das Dunas
2014/06/14,2014 FIFA World Cup Brazil,●,1,2,,●1-2,コートジボワール,Recife／Arena Pernambuco
2014/06/06,国際親善試合,○,4,3,,○4-3,ザンビア,アメリカ／Raymond James Stadium
2014/06/02,国際親善試合,○,3,1,,○3-1,コスタリカ,アメリカ／Raymond James Stadium
2014/05/27,キリンチャレンジカップ2014,○,1,0,,○1-0,キプロス,埼玉／埼玉スタジアム２○○２
2014/03/05,キリンチャレンジカップ2014～ありがとう国立競技場～,○,4,2,,○4-2,ニュージーランド,東京／国立競技場
2013/11/19,国際親善試合,○,3,2,,○3-2,ベルギー,ボードワン国王スタジアム
2013/11/16,国際親善試合,△,2,2,,△2-2,オランダ,クリスタル・アレナ
2013/10/15,国際親善試合,●,0,1,,●0-1,ベラルーシ,ベラルーシ
2013/10/11,国際親善試合,●,0,2,,●0-2,セルビア,セルビア
2013/09/10,キリンチャレンジカップ2013,○,3,1,,○3-1,ガーナ,横浜国際総合競技場（日産スタジアム）
2013/09/06,キリンチャレンジカップ2013,○,3,0,,○3-0,グアテマラ,大阪長居スタジアム
2013/08/14,キリンチャレンジカップ2013,●,2,4,,●2-4,ウルグアイ,宮城スタジアム
