date,time,home_team,visitor_team,home_score,visitor_score,stadium
20170331,1800,巨人,中日,6,2,東京ドーム
20170331,1800,ヤクルト,DeNA,9,2,神　宮
20170331,1800,広島,阪神,6,10,マツダスタジアム
20170331,1830,日本ハム,西武,1,8,札幌ドーム
20170331,1830,オリックス,楽天,4,6,京セラD大阪
20170331,1830,ソフトバンク,ロッテ,3,1,ヤフオクドーム
20170401,1400,巨人,中日,4,2,東京ドーム
20170401,1400,ヤクルト,DeNA,1,6,神　宮
20170401,1400,広島,阪神,9,8,マツダスタジアム
20170401,1400,日本ハム,西武,3,1,札幌ドーム
20170401,1400,オリックス,楽天,4,13,京セラD大阪
20170401,1300,ソフトバンク,ロッテ,4,1,ヤフオクドーム
20170402,1400,巨人,中日,6,3,東京ドーム
20170402,1300,ヤクルト,DeNA,8,4,神　宮
20170402,1330,広島,阪神,9,1,マツダスタジアム
20170402,1400,日本ハム,西武,3,6,札幌ドーム
20170402,1300,オリックス,楽天,4,5,京セラD大阪
20170402,1300,ソフトバンク,ロッテ,5,3,ヤフオクドーム
20170404,1830,DeNA,巨人,2,5,横　浜
20170404,1815,中日,広島,1,7,ナゴヤドーム
20170404,1800,阪神,ヤクルト,1,3,京セラD大阪
20170404,1600,楽天,ソフトバンク,7,1,Koboパーク宮城
20170404,1800,西武,オリックス,3,7,メットライフ
20170404,1830,ロッテ,日本ハム,1,6,ZOZOマリン
20170405,1800,DeNA,巨人,2,4,横　浜
20170405,1800,中日,広島,3,3,ナゴヤドーム
20170405,1800,阪神,ヤクルト,4,1,京セラD大阪
20170405,1300,楽天,ソフトバンク,4,15,Koboパーク宮城
20170405,1400,西武,オリックス,0,2,メットライフ
20170405,1400,ロッテ,日本ハム,7,6,ZOZOマリン
20170406,1800,DeNA,巨人,4,2,横　浜
20170406,1800,中日,広島,3,5,ナゴヤドーム
20170406,1800,阪神,ヤクルト,5,4,京セラD大阪
20170406,1300,楽天,ソフトバンク,3,1,Koboパーク宮城
20170406,1400,ロッテ,日本ハム,5,1,ZOZOマリン
20170407,1800,中日,DeNA,7,5,ナゴヤドーム
20170407,1800,阪神,巨人,3,5,甲子園
20170407,1800,広島,ヤクルト,4,1,マツダスタジアム
20170407,1800,西武,ソフトバンク,2,4,メットライフ
20170407,1800,オリックス,日本ハム,4,2,ほっと神戸
20170408,1400,中日,DeNA,1,1,ナゴヤドーム
20170408,1400,広島,ヤクルト,2,1,マツダスタジアム
20170408,1400,西武,ソフトバンク,6,1,メットライフ
20170408,1400,ロッテ,楽天,4,7,ZOZOマリン
20170408,1400,オリックス,日本ハム,8,1,京セラD大阪
20170409,1400,中日,DeNA,1,2,ナゴヤドーム
20170409,1400,阪神,巨人,4,3,甲子園
20170409,1330,広島,ヤクルト,6,2,マツダスタジアム
20170409,1300,西武,ソフトバンク,4,2,メットライフ
20170409,1300,ロッテ,楽天,1,4,ZOZOマリン
20170409,1400,オリックス,日本ハム,2,0,京セラD大阪
20170411,1800,巨人,広島,6,9,東京ドーム
20170411,1800,日本ハム,ソフトバンク,0,3,札幌ドーム
20170411,1800,オリックス,ロッテ,11,1,京セラD大阪
20170412,1800,巨人,広島,5,9,東京ドーム
20170412,1800,ヤクルト,中日,2,5,神　宮
20170412,1800,DeNA,阪神,6,8,横　浜
20170412,1800,日本ハム,ソフトバンク,4,3,札幌ドーム
20170412,1600,楽天,西武,5,10,Koboパーク宮城
20170412,1800,オリックス,ロッテ,4,6,京セラD大阪
20170413,1800,巨人,広島,5,11,東京ドーム
20170413,1800,ヤクルト,中日,3,2,神　宮
20170413,1800,DeNA,阪神,1,4,横　浜
20170413,1800,日本ハム,ソフトバンク,3,2,札幌ドーム
20170413,1800,オリックス,ロッテ,2,3,京セラD大阪
20170414,1800,DeNA,ヤクルト,4,3,横　浜
20170414,1800,中日,巨人,3,2,ナゴヤドーム
20170414,1800,阪神,広島,4,2,甲子園
20170414,1800,楽天,日本ハム,3,2,Koboパーク宮城
20170414,1830,ロッテ,西武,2,3,ZOZOマリン
20170414,1800,ソフトバンク,オリックス,0,9,ヤフオクドーム
20170415,1400,DeNA,ヤクルト,2,7,横　浜
20170415,1400,中日,巨人,2,6,ナゴヤドーム
20170415,1400,阪神,広島,1,7,甲子園
20170415,1400,楽天,日本ハム,4,2,Koboパーク宮城
20170415,1400,ロッテ,西武,1,0,ZOZOマリン
20170415,1400,ソフトバンク,オリックス,6,7,ヤフオクドーム
20170416,1300,DeNA,ヤクルト,6,3,横　浜
20170416,1400,中日,巨人,0,2,ナゴヤドーム
20170416,1400,阪神,広島,2,1,甲子園
20170416,1300,楽天,日本ハム,4,3,Koboパーク宮城
