チーム,背番号,氏名,生年月日,身長,体重,投,打
広島,11,福井　優也,1988.02.08,178,85,右,右
広島,12,九里　亜蓮,1991.09.01,187,92,右,右
広島,13,加藤　拓也,1994.12.31,176,88,右,右
広島,14,大瀬良　大地,1991.06.17,187,93,右,右
広島,16,今村　猛,1991.04.17,183,98,右,右
広島,17,岡田　明丈,1993.10.18,185,90,右,左
広島,19,野村　祐輔,1989.06.24,177,82,右,右
広島,20,永川　勝浩,1980.12.14,188,98,右,右
広島,21,中﨑　翔太,1992.08.10,186,100,右,右
広島,22,中村　恭平,1989.03.22,185,82,左,左
広島,23,薮田　和樹,1992.08.07,188,84,右,右
広島,24,横山　弘樹,1992.03.12,187,86,右,左
広島,26,中田　廉,1990.07.21,189,91,右,右
広島,28,床田　寛樹,1995.03.01,181,76,左,左
広島,29,江草　仁貴,1980.09.03,178,83,左,左
広島,30,一岡　竜司,1991.01.11,179,82,右,右
広島,34,高橋　昂也,1998.09.27,181,87,左,左
広島,36,塹江　敦哉,1997.02.21,178,78,左,左
広島,39,飯田　哲矢,1991.03.28,182,80,左,左
広島,41,藤井　皓哉,1996.07.29,181,83,右,左
広島,42,ジョンソン,1984.10.14,193,93,左,左
広島,46,高橋　樹也,1997.06.21,176,75,左,左
広島,47,小野　淳平,1987.04.05,178,82,右,右
広島,48,アドゥワ　誠,1998.10.02,196,83,右,右
広島,53,戸田　隆矢,1993.06.10,181,76,左,左
広島,56,辻　空,1994.04.24,184,84,右,右
広島,57,オスカル,1991.03.28,178,78,左,左
広島,58,ジャクソン,1987.10.27,185,88,右,右
広島,62,今井　啓介,1987.05.24,183,89,右,右
広島,65,長井　良太,1999.01.15,181,80,右,右
広島,66,ヘーゲンズ,1989.05.12,190,95,右,右
広島,67,中村　祐太,1995.08.31,182,80,右,右
広島,70,ブレイシア,1987.08.26,183,102,右,左
広島,98,佐藤　祥万,1989.08.18,172,78,左,左
広島,27,會澤　翼,1988.04.13,177,91,右,右
広島,31,石原　慶幸,1979.09.07,177,90,右,右
広島,32,白濱　裕太,1985.10.31,180,92,右,右
広島,40,磯村　嘉孝,1992.11.01,178,89,右,右
広島,54,船越　涼太,1993.11.26,178,83,右,右
広島,61,坂倉　将吾,1998.05.29,176,82,右,左
広島,64,多田　大輔,1996.05.25,189,92,右,右
広島,68,中村　亘佑,1991.04.02,181,87,右,右
広島,0,上本　崇司,1990.08.22,170,71,右,左右
広島,2,田中　広輔,1989.07.03,171,85,右,左
広島,4,小窪　哲也,1985.04.12,175,83,右,右
広島,5,ペーニャ,1985.07.18,180,91,右,左右
広島,6,梵　英心,1980.10.11,173,76,右,右
広島,7,堂林　翔太,1991.08.17,183,88,右,右
広島,25,新井　貴浩,1977.01.30,189,102,右,右
広島,33,菊池　涼介,1990.03.11,171,72,右,右
広島,45,桒原　樹,1996.07.04,180,74,右,左
広島,52,庄司　隼人,1991.06.21,175,76,右,左
広島,55,エルドレッド,1980.07.12,196,122,右,右
広島,59,美間　優槻,1994.05.26,177,90,右,右
広島,60,安部　友裕,1989.06.24,181,81,右,左
広島,63,西川　龍馬,1994.12.10,176,70,右,左
広島,69,青木　陸,1997.11.11,181,87,右,右
広島,95,バティスタ,1992.01.18,189,115,右,右
広島,96,メヒア,1993.03.10,192,102,右,右
広島,9,丸　佳浩,1989.04.11,177,90,右,左
広島,10,岩本　貴裕,1986.04.18,182,96,左,左
広島,35,下水流　昂,1988.04.23,178,91,右,右
広島,37,野間　峻祥,1993.01.28,180,83,右,左
広島,38,赤松　真人,1982.09.06,182,75,右,右
広島,43,土生　翔平,1989.08.16,180,87,右,左
広島,44,松山　竜平,1985.09.18,176,98,右,左
広島,49,天谷　宗一郎,1983.11.08,178,87,左,左
広島,50,髙橋　大樹,1994.05.11,181,85,右,右
広島,51,鈴木　誠也,1994.08.18,181,90,右,右
巨人,13,森福　允彦,1986.07.29,172,66,左,左
巨人,15,澤村　拓一,1988.04.03,184,102,右,右
巨人,17,大竹　寛,1983.05.21,184,94,右,右
巨人,18,杉内　俊哉,1980.10.30,175,82,左,左
巨人,19,菅野　智之,1989.10.11,186,92,右,右
巨人,20,マシソン,1984.02.27,191,104,右,右
巨人,21,吉川　光夫,1988.04.06,178,76,左,左
巨人,26,内海　哲也,1982.04.29,186,95,左,左
巨人,28,畠　世周,1994.05.31,186,78,右,左
巨人,30,宮國　椋丞,1992.04.17,186,84,右,右
巨人,35,西村　健太朗,1985.05.10,184,94,右,右
巨人,36,桜井　俊貴,1993.10.21,181,82,右,右
巨人,37,田原　誠次,1989.09.02,180,80,右,左
巨人,39,マイコラス,1988.08.23,196,100,右,右
巨人,40,谷岡　竜平,1996.03.21,181,79,右,右
巨人,42,山口　俊,1987.07.11,187,97,右,右
巨人,44,カミネロ,1987.06.16,193,111,右,右
巨人,45,今村　信貴,1994.03.15,180,84,左,左
巨人,46,與那原　大剛,1998.03.09,190,89,右,右
巨人,47,山口　鉄也,1983.11.11,184,88,左,左
巨人,48,池田　駿,1992.11.29,174,71,左,左
巨人,50,戸根　千明,1992.10.17,174,97,左,左
巨人,53,髙田　萌生,1998.07.04,178,75,右,右
巨人,54,高木　勇人,1989.07.13,178,90,右,右
巨人,60,乾　真大,1988.12.08,176,82,左,左
巨人,62,江柄子　裕樹,1986.11.14,184,82,右,右
巨人,64,大江　竜聖,1999.01.15,173,78,左,左
巨人,90,田口　麗斗,1995.09.14,171,83,左,左
巨人,91,中川　皓太,1994.02.24,183,86,左,左
巨人,92,篠原　慎平,1990.06.13,186,97,右,左
巨人,93,巽　大介,1997.04.26,183,85,左,左
巨人,96,長谷川　潤,1991.06.15,186,82,右,右
巨人,97,廖任磊,1993.08.30,201,125,右,右
巨人,22,小林　誠司,1989.06.07,178,83,右,右
巨人,23,相川　亮二,1976.07.11,183,86,右,右
巨人,27,實松　一成,1981.01.18,177,85,右,右
巨人,52,宇佐見　真吾,1993.06.04,181,87,右,左
巨人,63,田中　貴也,1992.08.27,178,80,右,左
巨人,69,松崎　啄也,1992.01.20,174,90,右,右
巨人,94,河野　元貴,1991.06.14,180,83,右,左
巨人,95,鬼屋敷　正人,1991.06.19,178,84,右,右
巨人,0,寺内　崇幸,1983.05.27,177,73,右,右
巨人,0,吉川　尚輝,1995.02.08,177,79,右,左
巨人,6,坂本　勇人,1988.12.14,186,83,右,右
巨人,8,片岡　治大,1983.02.17,176,80,右,右
巨人,10,阿部　慎之助,1979.03.20,180,97,右,左
巨人,12,脇谷　亮太,1981.11.04,177,77,右,左
巨人,25,村田　修一,1980.12.28,177,92,右,右
巨人,33,マギー,1982.10.12,185,100,右,右
巨人,38,岡本　和真,1996.06.30,185,96,右,右
巨人,56,山本　泰寛,1993.10.10,176,76,右,右
巨人,57,藤村　大介,1989.07.25,174,74,右,左
巨人,59,柿澤　貴裕,1994.07.30,179,80,右,左
巨人,61,中井　大介,1989.11.27,183,88,右,右
巨人,65,辻　東倫,1994.08.11,181,83,右,左
巨人,67,和田　恋,1995.09.26,180,84,右,右
巨人,68,吉川　大幾,1992.08.21,176,80,右,左右
巨人,98,増田　大輝,1993.07.29,172,65,右,右
巨人,2,陽　岱鋼,1987.01.17,183,89,右,右
巨人,5,ギャレット,1981.06.21,196,107,左,左
巨人,7,長野　久義,1984.12.06,180,85,右,右
巨人,9,亀井　善行,1982.07.28,178,82,右,左
巨人,31,松本　哲也,1984.07.03,168,70,左,左
巨人,32,橋本　到,1990.04.28,172,78,右,左
巨人,43,重信　慎之介,1993.04.17,173,70,右,左
巨人,49,石川　慎吾,1993.04.27,178,76,右,右
巨人,51,堂上　剛裕,1985.05.27,184,93,右,左
巨人,58,立岡　宗一郎,1990.05.18,181,81,右,左
巨人,66,北　篤,1988.11.26,183,86,右,左
巨人,99,青山　誠,1991.11.01,185,85,右,右
横浜,1,熊原　健人,1993.10.19,178,85,右,左
横浜,12,小林　寛,1989.01.21,180,87,右,右
横浜,13,水野　滉也,1994.06.01,175,74,右,右
横浜,14,石田　健大,1993.03.01,180,85,左,左
横浜,15,井納　翔一,1986.05.01,188,91,右,右
横浜,16,加賀　繁,1985.04.13,182,84,右,右
横浜,17,三嶋　一輝,1990.05.07,176,80,右,左右
横浜,19,山﨑　康晃,1992.10.02,178,85,右,右
横浜,20,須田　幸太,1986.07.31,176,72,右,右
横浜,21,今永　昇太,1993.09.01,177,80,左,左
横浜,22,高崎　健太郎,1985.06.24,176,82,右,右
横浜,24,林　昌範,1983.09.19,186,80,左,左
横浜,26,濵口　遥大,1995.03.16,173,80,左,左
横浜,27,久保　康友,1980.08.06,180,81,右,右
横浜,28,福地　元春,1990.06.21,182,94,左,左
横浜,29,尾仲　祐哉,1995.01.31,173,72,右,左
横浜,30,飯塚　悟史,1996.10.11,188,85,右,左
横浜,34,平田　真吾,1989.08.29,182,80,右,右
横浜,35,三上　朋也,1989.04.10,190,90,右,右
横浜,41,大原　慎司,1985.06.30,174,66,左,左
横浜,43,進藤　拓也,1992.07.16,186,90,右,右
横浜,45,綾部　翔,1997.04.25,189,90,右,右
横浜,46,田中　健二朗,1989.09.18,179,75,左,左
横浜,47,砂田　毅樹,1995.07.20,179,78,左,左
横浜,48,京山　将弥,1998.07.04,182,75,右,右
横浜,49,クライン,1989.04.30,201,116,右,右
横浜,53,パットン,1988.02.20,185,91,右,右
横浜,54,小杉　陽太,1985.12.08,187,78,右,右
横浜,56,ウィーランド,1990.01.21,188,93,右,右
横浜,58,野川　拓斗,1991.09.06,170,78,左,左
横浜,59,平良　拳太郎,1995.07.12,180,76,右,右
横浜,62,エスコバー,1992.04.22,188,102,左,左
横浜,65,国吉　佑樹,1991.09.24,196,100,右,右
横浜,68,藤岡　好明,1985.03.12,177,81,右,左
横浜,91,柿田　裕太,1992.08.27,182,84,右,右
横浜,10,戸柱　恭孝,1990.04.11,179,87,右,左
横浜,32,髙城　俊人,1993.05.03,176,86,右,右
横浜,39,嶺井　博希,1991.06.04,175,85,右,右
横浜,66,西森　将司,1987.12.29,182,80,右,左右
横浜,0,山崎　憲晴,1986.12.13,176,80,右,右
横浜,2,ロペス,1983.11.24,183,103,右,右
横浜,5,倉本　寿彦,1991.01.07,180,82,右,左
横浜,6,白崎　浩之,1990.08.20,184,89,右,右
横浜,7,石川　雄洋,1986.07.10,183,78,右,左
横浜,23,松尾　大河,1998.04.05,174,75,右,右
横浜,31,柴田　竜拓,1993.12.16,167,68,右,左
横浜,36,狩野　行寿,1994.07.31,180,80,右,右
横浜,38,山下　幸輝,1993.01.31,173,72,右,左
横浜,40,飛雄馬,1991.03.17,181,88,右,右
横浜,42,エリアン,1985.02.01,180,93,右,左右
横浜,44,佐野　恵太,1994.11.28,178,84,右,左
横浜,51,宮﨑　敏郎,1988.12.12,172,85,右,右
横浜,55,Ｇ．後藤　武敏,1980.06.05,176,84,右,右
横浜,64,百瀬　大騎,1997.03.11,175,70,右,左
横浜,67,田中　浩康,1982.05.24,177,80,右,右
横浜,98,シリアコ,1987.06.16,191,102,右,右
横浜,3,梶谷　隆幸,1988.08.28,180,85,右,左
横浜,4,荒波　翔,1986.01.25,179,78,右,左
横浜,25,筒香　嘉智,1991.11.26,185,97,右,左
横浜,33,乙坂　智,1994.01.06,182,83,右,左
横浜,37,桑原　将志,1993.07.21,174,78,右,右
横浜,50,下園　辰哉,1984.11.22,179,81,左,左
横浜,52,細川　成也,1998.08.04,179,86,右,右
横浜,57,青柳　昴樹,1997.05.19,182,84,右,右
横浜,60,白根　尚貴,1993.04.28,186,90,右,右
横浜,61,松本　啓二朗,1986.06.24,182,85,左,左
横浜,63,関根　大気,1995.06.28,173,75,左,左
阪神,13,榎田　大樹,1986.08.07,181,92,左,左
阪神,14,能見　篤史,1979.05.28,180,72,左,左
阪神,15,横山　雄哉,1994.02.21,183,83,左,左
阪神,16,安藤　優也,1977.12.27,184,99,右,右
阪神,17,岩貞　祐太,1991.09.05,183,84,左,左
阪神,19,藤浪　晋太郎,1994.04.12,197,89,右,右
阪神,20,メンデス,1990.07.25,191,107,右,右
阪神,21,岩田　稔,1983.10.31,179,94,左,左
阪神,22,藤川　球児,1980.07.21,185,86,右,左
阪神,26,歳内　宏明,1993.07.19,184,90,右,右
阪神,28,小野　泰己,1994.05.30,184,75,右,右
阪神,30,石崎　剛,1990.09.09,183,89,右,右
阪神,34,高宮　和也,1981.12.04,174,81,左,左
阪神,35,才木　浩人,1998.11.07,188,79,右,右
阪神,36,浜地　真澄,1998.05.25,184,88,右,右
阪神,38,マテオ,1984.04.18,188,107,右,右
阪神,40,福永　春吾,1994.05.14,185,90,右,左
阪神,41,髙橋　聡文,1983.05.29,176,86,左,左
阪神,42,竹安　大知,1994.09.27,183,80,右,右
阪神,43,守屋　功輝,1993.11.25,183,87,右,右
阪神,45,藤谷　洸介,1996.02.12,194,90,右,右
阪神,46,秋山　拓巳,1991.04.26,188,97,右,左
阪神,47,山本　翔也,1988.10.12,183,91,左,左
阪神,50,青柳　晃洋,1993.12.11,182,82,右,右
阪神,54,メッセンジャー,1981.08.13,198,121,右,右
阪神,56,松田　遼馬,1994.02.08,184,92,右,右
阪神,61,望月　惇志,1997.08.02,189,92,右,右
阪神,64,桑原　謙太朗,1985.10.29,184,84,右,右
阪神,66,柳瀬　明宏,1983.07.08,176,78,右,右
阪神,67,岩崎　優,1991.06.19,185,90,左,左
阪神,69,島本　浩也,1993.02.14,176,69,左,左
阪神,75,メンドーサ,1983.10.31,191,111,右,右
阪神,92,伊藤　和雄,1989.12.13,186,95,右,右
