country,total,recorded,unrecorded,beer,wine,spirits,other,2015projection
Belarus,17.6,14.4,3.2,17.3,5.2,46.6,30.9,17.1
Moldova,16.8,6.3,10.5,30.4,5.1,64.5,0,17.4
Lithuania,15.4,12.9,2.5,46.5,7.8,34.1,11.6,16.2
Russia,15.1,11.5,3.6,37.6,11.4,51,0,14.5
Romania,14.4,10.4,4,50,28.9,21.1,0,12.9
Ukraine,13.9,8.9,5,40.5,9,48,2.6,11.8
Andorra,13.8,12.4,1.4,34.6,45.3,20.1,0,9.1
Hungary,13.3,11.3,2,36.3,29.4,34.3,0,12.4
CzechRepublic,13,11.8,1.2,53.5,20.5,26,0,14.1
Slovakia,13,11.4,1.7,30.1,18.3,46.2,5.5,12.5
Portugal,12.9,11,1.9,30.8,55.5,10.9,2.8,12.5
Serbia,12.6,9.6,2.9,51.5,23.9,24.6,0,12.9
Grenada,12.5,11.9,0.7,29.3,4.3,66.2,0.2,10.4
Poland,12.5,10.9,1.6,55.1,9.3,35.5,0,11.5
Latvia,12.3,10.5,1.8,46.9,10.7,37,5.4,10.6
Finland,12.3,10,2.3,46,17.5,24,12.6,11.9
SouthKorea,12.3,9.8,2.5,25,1.6,2.9,70.5,10.9
France,12.2,11.8,0.4,18.8,56.4,23.1,1.7,11.6
Australia,12.2,10.4,1.8,44,36.7,12.5,6.8,12.6
Croatia,12.2,10.2,2,39.5,44.8,15.4,0.2,11.7
Ireland,11.9,11.4,0.5,48.1,26.1,18.7,7.7,10.9
Luxembourg,11.9,11.4,0.5,36.2,42.8,21,0,11.2
Germany,11.8,11.3,0.5,53.6,27.8,18.6,0,10.6
Slovenia,11.6,10.6,1,44.5,46.9,8.6,0,10.9
UnitedKingdom,11.6,10.4,1.2,36.9,33.8,21.8,7.5,12
Denmark,11.4,10.4,1,37.7,48.2,14.1,0,10.2
Bulgaria,11.4,10.3,1.1,39.3,16.5,44.1,0.1,11.3
Spain,11.2,10,1.2,49.7,20.1,28.2,1.8,10.6
Belgium,11,10.5,0.5,49.2,36.3,14.4,0.1,10.8
SouthAfrica,11,8.2,2.9,48.1,17.8,16.7,17.4,11.5
NewZealand,10.9,9.3,1.6,38.2,33.9,15.2,12.5,11.2
Gabon,10.9,8.9,2,68.3,11.9,19.8,0.1,11.8
Namibia,10.8,6.8,4,96.7,0.3,0.9,2.1,11.8
Switzerland,10.7,10.2,0.5,31.8,49.4,17.6,1.2,10.4
SaintLucia,10.4,10.1,0.2,29.7,12.6,56.1,1.5,10.4
Austria,10.3,9.7,0.6,50.4,35.5,14,0,8.5
Estonia,10.3,9.5,0.8,41.2,11.1,36.8,10.9,9.4
