国名,全体,男性,女性
Afghanistan,60.5,59.3,61.9
Albania,77.8,75.1,80.7
Algeria,75.6,73.8,77.5
Angola,52.4,50.9,54.0
Antigua and Barbuda,76.4,74.1,78.6
Argentina,76.3,72.7,79.9
Armenia,74.8,71.6,77.7
Australia,82.8,80.9,84.8
Austria,81.5,79.0,83.9
Azerbaijan,72.7,69.6,75.8
Bahamas,76.1,72.9,79.1
Bahrain,76.9,76.2,77.9
Bangladesh,71.8,70.6,73.1
Barbados,75.5,73.1,77.9
Belarus,72.3,66.5,78.0
Belgium,81.1,78.6,83.5
Belize,70.1,67.5,73.1
Benin,60.0,58.8,61.1
Bhutan,69.8,69.5,70.1
Bolivia (Plurinational State of),70.7,68.2,73.3
Bosnia and Herzegovina,77.4,75.0,79.7
Botswana,65.7,63.3,68.1
Brazil,75.0,71.4,78.7
Brunei Darussalam,77.7,76.3,79.2
Bulgaria,74.5,71.1,78.0
Burkina Faso,59.9,59.1,60.5
Burundi,59.6,57.7,61.6
Côte d'Ivoire,53.3,52.3,54.4
Cabo Verde,73.3,71.3,75.0
Cambodia,68.7,66.6,70.7
Cameroon,57.3,55.9,58.6
Canada,82.2,80.2,84.1
Central African Republic,52.5,50.9,54.1
Chad,53.1,51.7,54.5
Chile,80.5,77.4,83.4
China,76.1,74.6,77.6
Colombia,74.8,71.2,78.4
Comoros,63.5,61.9,65.2
Congo,64.7,63.2,66.3
Costa Rica,79.6,77.1,82.2
Croatia,78.0,74.7,81.2
Cuba,79.1,76.9,81.4
Cyprus,80.5,78.3,82.7
Czechia,78.8,75.9,81.7
Democratic People's Republic of Korea,70.6,67.0,74.0
Democratic Republic of the Congo,59.8,58.3,61.5
Denmark,80.6,78.6,82.5
Djibouti,63.5,61.8,65.3
Dominican Republic,73.9,70.9,77.1
Ecuador,76.2,73.5,79.0
Egypt,70.9,68.8,73.2
El Salvador,73.5,68.8,77.9
Equatorial Guinea,58.2,56.6,60.0
Eritrea,64.7,62.4,67.0
Estonia,77.6,72.7,82.0
Ethiopia,64.8,62.8,66.8
Fiji,69.9,67.0,73.1
Finland,81.1,78.3,83.8
France,82.4,79.4,85.4
Gabon,66.0,64.7,67.2
Gambia,61.1,59.8,62.5
Georgia,74.4,70.3,78.3
Germany,81.0,78.7,83.4
Ghana,62.4,61.0,63.9
Greece,81.0,78.3,83.6
Grenada,73.6,71.2,76.1
Guatemala,71.9,68.5,75.2
Guinea,59.0,58.2,59.8
Guinea-Bissau,58.9,57.2,60.5
Guyana,66.2,63.9,68.5
Haiti,63.5,61.5,65.5
Honduras,74.6,72.3,77.0
Hungary,75.8,72.3,79.1
Iceland,82.7,81.2,84.1
India,68.3,66.9,69.9
Indonesia,69.1,67.1,71.2
Iran (Islamic Republic of),75.5,74.5,76.6
Iraq,68.9,66.2,71.8
Ireland,81.4,79.4,83.4
Israel,82.5,80.6,84.3
Italy,82.7,80.5,84.8
Jamaica,76.2,73.9,78.6
Japan,83.7,80.5,86.8
Jordan,74.1,72.5,75.9
Kazakhstan,70.2,65.7,74.7
Kenya,63.4,61.1,65.8
Kiribati,66.3,63.7,68.8
