年,男修士,男大卒,男高専短大,男高卒,女修士,女大卒,女高専短大,女高卒
1976,・,94.3,82.2,76.9,・,87.6,81.0,73.4
1977,・,101.0,87.9,81.9,・,95.3,86.6,78.4
1978,・,105.5,93.0,85.9,・,99.9,90.7,82.0
1979,・,109.5,95.8,88.6,・,103.7,93.0,84.7
1980,・,114.5,100.7,92.8,・,108.7,97.4,88.3
1981,・,120.8,106.5,98.4,・,115.0,102.6,93.1
1982,・,127.2,111.2,103.4,・,119.1,106.9,97.5
1983,・,132.2,116.8,106.2,・,124.1,109.7,100.0
1984,・,135.8,120.0,108.8,・,128.7,113.0,103.0
1985,・,140.0,123.6,112.2,・,133.5,117.0,106.2
1986,・,144.5,126.5,115.4,・,138.4,120.5,108.5
1987,・,148.2,128.3,118.1,・,142.7,122.7,110.1
1988,・,153.1,132.3,120.3,・,149.0,125.8,113.8
1989,・,160.9,138.4,125.6,・,155.6,131.7,118.3
1990,・,169.9,145.4,133.0,・,162.9,138.1,126.0
1991,・,179.4,155.1,140.8,・,172.3,146.5,133.2
1992,・,186.9,160.9,146.6,・,180.1,152.4,139.5
1993,・,190.3,165.1,150.6,・,181.9,155.6,142.4
1994,・,192.4,166.6,153.8,・,184.5,157.7,145.5
1995,・,194.2,165.1,154.0,・,184.0,158.7,144.7
1996,・,193.2,166.8,154.5,・,183.6,158.7,146.1
1997,・,193.9,168.9,156.0,・,186.2,161.0,147.3
1998,・,195.5,168.8,156.5,・,186.3,161.8,147.9
1999,・,196.6,170.3,157.6,・,188.7,162.2,148.3
2000,・,196.9,171.6,157.1,・,187.4,163.6,147.6
2001,・,198.3,170.3,158.1,・,188.6,163.8,148.7
2002,・,198.5,169.5,157.5,・,188.8,164.3,148.8
2003,・,201.3,169.8,157.5,・,192.5,163.5,147.0
2004,・,198.3,170.7,156.1,・,189.5,164.2,147.2
2005,221.0,196.7,170.3,155.7,216.6,189.3,164.2,148.0
2006,224.6,199.8,171.2,157.6,226.0,190.8,166.8,149.4
2007,224.6,198.8,171.2,158.8,226.7,191.4,166.9,150.8
2008,226.2,201.3,171.6,160.0,223.6,194.6,168.6,154.3
2009,228.6,201.4,175.8,160.8,227.1,194.9,171.7,153.0
2010,224.5,200.3,173.6,160.7,221.2,193.5,168.2,153.2
2011,233.9,205.0,175.5,159.4,237.3,197.9,170.5,151.8
2012,225.6,201.8,173.0,160.1,228.4,196.5,168.4,153.6
2013,227.7,200.2,174.2,158.9,230.0,195.1,171.2,151.3
2014,227.7,202.9,176.1,161.3,230.7,197.2,172.8,154.2
2015,228.5,204.5,177.3,163.4,228.5,198.8,174.6,156.2
2016,231.7,205.9,179.7,163.5,229.7,200.0,175.2,157.2
2017,233.6,207.8,180.6,164.2,232.4,204.1,178.4,158.4
