年,男修士,男大卒,男高専短大,男高卒,女修士,女大卒,女高専短大,女高卒
1976,・,93.5,81.6,76.6,・,88.0,80.8,74.1
1977,・,99.3,87.0,81.0,・,96.5,86.2,78.5
1978,・,105.5,93.0,85.9,・,99.9,90.7,82.0
1979,・,108.4,94.3,88.5,・,103.7,93.6,85.4
1980,・,113.2,99.3,92.2,・,108.3,97.4,88.8
1981,・,119.8,104.6,96.9,・,114.0,102.3,93.7
1982,・,125.8,109.8,101.9,・,119.5,107.1,97.8
1983,・,131.1,116.1,105.9,・,123.8,110.0,100.6
1984,・,134.5,118.5,108.3,・,129.5,115.1,103.6
1985,・,139.1,122.9,111.2,・,133.8,118.6,106.5
1986,・,143.3,125.7,114.2,・,138.7,122.0,108.7
1987,・,146.8,128.5,116.8,・,143.7,124.3,110.8
1988,・,151.7,130.4,119.5,・,147.4,125.8,114.0
1989,・,160.0,137.7,124.5,・,157.1,132.5,118.7
1990,・,168.6,144.6,132.5,・,163.0,138.9,127.2
1991,・,177.3,154.7,139.7,・,172.6,148.0,133.8
1992,・,186.0,159.8,145.3,・,179.1,153.6,140.2
1993,・,189.6,164.5,149.2,・,181.2,156.3,143.1
1994,・,191.0,164.3,152.6,・,185.6,158.7,145.9
1995,・,193.9,163.7,152.8,・,184.6,160.3,144.7
1996,・,193.0,165.4,153.6,・,184.2,161.5,147.2
1997,・,193.7,167.5,155.1,・,187.3,163.2,147.5
1998,・,196.0,166.4,155.7,・,187.6,164.2,148.8
1999,・,195.8,168.3,157.5,・,189.5,164.1,149.7
2000,・,196.4,170.7,157.4,・,192.8,169.2,148.9
2001,・,198.4,168.0,157.0,・,191.1,165.9,151.0
2002,・,197.6,167.9,157.7,・,189.9,167.4,148.3
2003,・,203.2,169.3,156.4,・,194.9,164.4,147.9
2004,・,199.8,170.0,154.7,・,190.5,166.6,148.1
2005,217.9,198.6,170.3,155.5,218.4,191.3,168.4,148.4
2006,218.9,199.9,169.7,156.6,222.8,191.2,168.9,149.2
2007,224.3,198.8,169.6,157.8,222.9,192.2,167.5,150.5
2008,226.8,201.5,171.5,157.8,219.5,195.5,170.4,154.3
2009,228.6,201.1,177.6,158.1,222.3,196.0,173.1,152.5
2010,219.7,199.7,172.7,159.1,218.8,193.4,168.8,153.4
2011,237.4,206.3,174.7,158.6,238.1,195.8,171.2,151.7
2012,219.9,200.1,171.7,160.0,219.7,195.1,166.6,154.0
2013,221.6,199.1,172.3,157.8,216.3,194.3,172.7,151.1
2014,221.0,202.6,176.5,161.0,219.6,196.5,176.4,153.9
2015,220.8,204.1,177.8,162.0,221.9,197.2,175.6,156.1
2016,224.6,203.6,178.6,161.6,225.8,197.7,175.1,156.9
2017,224.9,203.9,179.7,162.5,224.7,200.6,177.8,158.0
