年,男修士,男大卒,男高専短大,男高卒,女修士,女大卒,女高専短大,女高卒,
1976,・,92.5,81.7,74.6,・,86.7,80.0,68.8,
1977,・,100.5,87.2,79.1,・,93.3,84.4,73.3,
1978,・,104.1,94.0,83.2,・,96.6,89.8,77.7, 
1979,・,108.6,96.6,86.5,・,102.0,90.8,80.2,
1980,・,113.1,100.9,90.0,・,105.9,94.6,83.3,
1981,・,117.6,107.5,95.2,・,110.4,99.8,87.0,
1982,・,124.8,109.8,100.2,・,114.2,103.4,91.5,
1983,・,129.1,116.6,103.6,・,120.5,106.7,94.5,
1984,・,133.4,119.9,107.6,・,124.4,107.9,97.9,
1985,・,136.8,123.2,110.7,・,127.7,112.3,101.0,
1986,・,140.1,125.3,113.1,・,129.5,114.2,102.9,
1987,・,144.4,126.4,117.6,・,134.2,116.9,104.6,
1988,・,150.3,133.5,119.7,・,146.7,119.7,108.3,
1989,・,154.9,137.3,124.3,・,145.4,125.2,112.6,
1990,・,163.3,143.8,130.2,・,152.0,130.5,119.3,
1991,・,173.8,153.9,140.0,・,165.3,140.1,126.3,
1992,・,180.3,161.3,146.8,・,173.3,146.6,132.7,
1993,・,186.1,165.6,151.1,・,180.1,152.5,136.5,
1994,・,192.3,167.9,153.9,・,181.2,154.9,141.6,
1995,・,191.0,166.0,155.7,・,180.7,156.0,141.8,
1996,・,191.1,168.1,155.5,・,180.8,156.5,142.6,
1997,・,191.7,172.0,158.4,・,183.0,158.9,145.9,
1998,・,193.4,169.5,157.3,・,186.4,159.8,144.3,
1999,・,197.5,172.1,158.0,・,190.7,161.2,143.8,
2000,・,193.7,171.9,157.3,・,178.7,159.4,143.1,
2001,・,192.6,171.9,159.2,・,183.4,162.4,143.4,
2002,・,192.7,168.7,157.3,・,184.0,161.9,148.5,
2003,・,195.4,169.0,158.3,・,187.3,162.6,143.3,
2004,・,190.9,170.0,156.0,・,183.9,162.6,144.3,
2005,213.5,190.2,168.3,154.3,198.1,183.2,160.6,144.5,
2006,215.9,196.5,172.0,158.2,225.7,186.9,164.0,146.8,
2007,212.1,192.8,171.7,160.0,191.8,186.6,164.5,148.8,
2008,225.7,197.9,167.0,162.3,221.7,190.2,163.0,151.3,
2009,222.3,195.4,168.2,163.3,219.6,189.6,164.9,148.2,
2010,224.1,199.8,172.2,163.7,204.7,191.5,167.0,151.1,
2011,209.9,194.3,175.1,159.8,196.6,185.3,165.5,149.1,
2012,208.3,200.2,170.7,160.4,217.6,192.5,166.4,151.0,
2013,214.6,194.6,170.5,158.1,216.8,185.1,165.9,148.1,
2014,216.4,197.3,173.9,161.7,230.5,190.4,168.0,151.8,
2015,222.2,198.1,171.6,166.1,222.1,191.5,169.0,151.8,
2016,221.6,201.9,176.6,164.7,213.8,195.9,172.2,154.3,
2017,228.2,202.9,179.1,166.6,209.5,196.5,177.2,156.0,
