大学種別,学部1,学部2,全体計,全体男,全体女,１年計,１年男,１年女,２年計,２年男,２年女,３年計,３年男,３年女,４年計,４年男,４年女,５年計,５年男,５年お女,６年計,６年男,６年女
大学全体,計,計,2582884,1426810,1156074,638550,347894,290656,622219,341745,280474,612742,335632,277110,661269,376266,285003,23455,12304,11151,24649,12969,11680
大学全体,人文科学,人文科学,364690,126841,237849,88985,30873,58112,88122,30620,57502,87543,29551,57992,100040,35797,64243,－,－,－,－,－,－
大学全体,社会科学,社会科学,833358,541363,291995,208782,133795,74987,203942,131720,72222,198925,127768,71157,221709,148080,73629,－,－,－,－,－,－
大学全体,理学,理学,79013,57482,21531,18745,13465,5280,19151,13767,5384,19442,14048,5394,21675,16202,5473,－,－,－,－,－,－
大学全体,工学,工学,384745,328769,55976,91221,77174,14047,91553,77865,13688,97377,83131,14246,104561,90567,13994,33,32,1,－,－,－
大学全体,農学,農学,76676,42367,34309,17998,9705,8293,18429,10212,8217,18910,10571,8339,19293,10878,8415,1001,485,516,1045,516,529
大学全体,保健,保健計,324690,126914,197776,72288,25806,46482,70944,26252,44692,68318,25082,43236,67216,25591,41625,22320,11730,10590,23604,12453,11151
大学全体,保健,医学,56283,37608,18675,9399,6153,3246,9758,6559,3199,9418,6314,3104,9269,6223,3046,9176,6152,3024,9263,6207,3056
大学全体,保健,歯学,15278,8899,6379,2446,1388,1058,2701,1583,1118,2572,1454,1118,2546,1510,1036,2360,1387,973,2653,1577,1076
大学全体,保健,薬学,75057,30729,44328,13449,5548,7901,13416,5611,7805,12920,5329,7591,12800,5381,7419,10784,4191,6593,11688,4669,7019
大学全体,保健,保健その他,178072,49678,128394,46994,12717,34277,45069,12499,32570,43408,11985,31423,42601,12477,30124,－,－,－,－,－,－
大学全体,商船,商船,398,347,51,－,－,－,142,118,24,105,90,15,151,139,12,－,－,－,－,－,－
大学全体,家政,家政,70948,6656,64292,17995,1709,16286,17415,1680,15735,17752,1637,16115,17786,1630,16156,－,－,－,－,－,－
大学全体,教育,教育,191159,78156,113003,47045,19027,28018,46404,18710,27694,47383,19058,28325,50226,21304,28922,101,57,44,－,－,－
大学全体,芸術,芸術,70341,20901,49440,18602,5680,12922,17669,5273,12396,16988,4931,12057,17082,5017,12065,－,－,－,－,－,－
大学全体,その他,その他,186866,97014,89852,56889,30660,26229,48448,25528,22920,39999,19765,20234,41530,21061,20469,－,－,－,－,－,－
国立,計,計,441921,280693,161228,100631,62631,38000,101913,63525,38388,105297,66670,38627,121275,79580,41695,6421,4177,2244,6384,4110,2274
国立,人文科学,人文科学,31251,11844,19407,6692,2510,4182,7269,2661,4608,7609,2785,4824,9681,3888,5793,－,－,－,－,－,－
国立,社会科学,社会科学,66669,43027,23642,14647,9149,5498,15255,9519,5736,16396,10528,5868,20371,13831,6540,－,－,－,－,－,－
国立,理学,理学,30636,22829,7807,6665,4860,1805,7101,5178,1923,7916,5871,2045,8954,6920,2034,－,－,－,－,－,－
国立,工学,工学,127164,109165,17999,27030,22875,4155,28442,24171,4271,33348,28647,4701,38311,33440,4871,33,32,1,－,－,－
国立,農学,農学,30215,16825,13390,6760,3584,3176,7032,3848,3184,7483,4237,3246,8239,4796,3443,343,180,163,358,180,178
国立,保健,保健計,58515,29184,29331,11007,4796,6211,11822,5438,6384,11813,5501,6312,11903,5611,6292,5944,3908,2036,6026,3930,2096
国立,保健,医学,29814,20512,9302,4712,3143,1569,5131,3556,1575,5085,3518,1567,5039,3507,1532,4910,3386,1524,4937,3402,1535
国立,保健,歯学,3338,1775,1563,518,271,247,582,311,271,577,307,270,547,296,251,544,290,254,570,300,270
国立,保健,薬学,5567,3080,2487,1024,554,470,1125,644,481,1187,700,487,1222,722,500,490,232,258,519,228,291
国立,保健,保健その他,19796,3817,15979,4753,828,3925,4984,927,4057,4964,976,3988,5095,1086,4009,－,－,－,－,－,－
国立,商船,商船,398,347,51,－,－,－,142,118,24,105,90,15,151,139,12,－,－,－,－,－,－
国立,家政,家政,1354,－,1354,321,－,321,320,－,320,341,－,341,372,－,372,－,－,－,－,－,－
国立,教育,教育,63464,28657,34807,14362,6326,8036,15004,6544,8460,15866,7099,8767,18131,8631,9500,101,57,44,－,－,－
国立,芸術,芸術,3234,914,2320,816,222,594,828,228,600,719,212,507,871,252,619,－,－,－,－,－,－
国立,その他,その他,29021,17901,11120,12331,8309,4022,8698,5820,2878,3701,1700,2001,4291,2072,2219,－,－,－,－,－,－
