都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,38,25,16,-,1,-
青森,5,4,4,-,-,-
岩手,2,2,2,-,-,-
宮城,3,1,1,-,-,-
秋田,1,1,1,-,-,-
山形,1,1,1,-,-,-
福島,2,-,-,-,-,-
東京,66,56,31,-,-,-
茨城,28,25,20,1,4,-
栃木,10,7,6,-,-,-
群馬,7,5,3,-,-,-
埼玉,57,33,13,-,-,-
千葉,56,36,17,-,4,-
神奈川,47,36,17,1,1,-
新潟,10,5,5,-,-,-
山梨,1,-,-,-,-,-
長野,5,6,3,-,-,-
静岡,16,15,13,-,2,-
富山,3,1,1,-,-,-
石川,1,-,-,-,-,-
福井,3,2,3,-,-,-
岐阜,7,8,8,-,-,-
愛知,39,16,13,-,1,-
三重,8,5,5,-,-,-
滋賀,7,3,4,-,3,-
京都,12,10,11,-,5,-
大阪,68,59,33,2,2,-
兵庫,27,14,10,-,4,-
奈良,12,6,4,-,-,-
和歌山,4,1,1,-,-,-
鳥取,1,-,-,-,-,-
島根,1,1,1,-,-,-
岡山,1,1,1,-,-,-
広島,5,5,5,-,-,-
山口,2,1,1,-,-,-
徳島,2,2,2,-,-,-
香川,3,2,1,-,-,-
愛媛,2,1,1,-,-,-
高知,1,1,1,-,-,-
福岡,22,19,10,-,1,-
佐賀,4,3,1,1,-,-
長崎,1,1,1,-,-,-
熊本,2,-,-,-,-,-
大分,4,4,4,-,-,-
宮崎,1,1,1,-,-,-
鹿児島,4,1,1,-,-,-
沖縄,5,4,4,-,-,-
