都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,4404,3359,3140,1332,359,84
青森,858,763,741,321,169,55
岩手,695,584,533,219,66,21
宮城,2013,1406,1252,485,118,21
秋田,779,737,540,228,48,11
山形,841,762,615,277,47,14
福島,1597,1220,1145,453,176,31
東京,15506,9657,9618,4026,1382,412
茨城,2946,1999,1886,722,272,51
栃木,1749,1422,1112,404,146,25
群馬,2105,2098,1309,541,153,28
埼玉,7148,4576,4320,1634,835,170
千葉,6439,4600,4156,1642,727,201
神奈川,7583,6141,6123,2470,1081,230
新潟,2277,1870,1576,595,220,45
山梨,753,589,581,220,95,22
長野,1758,1437,1250,469,264,65
静岡,3280,2392,2249,897,336,105
富山,707,563,514,222,87,20
石川,768,766,549,235,70,14
福井,624,506,466,202,71,18
岐阜,1647,941,886,385,147,53
愛知,7503,4641,4522,1723,859,201
三重,1755,930,860,364,130,41
滋賀,1285,1011,949,405,194,66
京都,2362,1713,1607,675,322,81
大阪,8576,4228,4340,1784,886,259
兵庫,6130,4155,4111,1711,760,213
奈良,1209,1038,945,439,207,72
和歌山,875,784,764,355,132,33
鳥取,609,471,355,160,60,28
島根,1234,1144,364,135,83,17
岡山,2000,1535,1448,558,410,109
広島,3011,2312,2135,964,455,135
山口,1217,1086,951,389,152,42
徳島,651,628,480,213,66,23
香川,1128,882,755,332,176,64
愛媛,1419,1094,1039,481,143,45
高知,544,487,432,203,86,33
福岡,5794,3823,3610,1476,706,172
佐賀,888,932,693,302,100,29
長崎,956,852,833,349,190,46
熊本,1497,1331,1188,502,210,61
大分,794,681,641,275,70,12
宮崎,854,726,666,280,118,36
鹿児島,1066,866,845,343,132,28
沖縄,1309,1046,1002,370,219,57
