都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,366,328,46,1,6,-
青森,127,95,35,1,4,-
岩手,69,54,10,-,-,-
宮城,289,187,32,-,4,-
秋田,37,25,12,1,-,-
山形,45,21,4,-,-,-
福島,132,32,8,-,-,-
東京,201,125,51,4,5,-
茨城,339,144,17,1,4,-
栃木,159,115,15,-,1,-
群馬,85,23,17,-,2,-
埼玉,332,120,41,2,4,-
千葉,489,151,27,1,3,-
神奈川,96,51,28,2,1,-
新潟,139,59,19,-,-,-
山梨,50,52,3,-,-,-
長野,128,39,11,-,3,-
静岡,98,55,13,-,2,-
富山,107,12,5,-,-,-
石川,104,72,18,-,-,-
福井,71,94,16,-,4,-
岐阜,147,42,16,-,4,-
愛知,291,44,30,1,-,-
三重,193,94,28,-,3,-
滋賀,88,53,17,-,1,-
京都,76,40,13,1,-,-
大阪,460,190,100,11,6,-
兵庫,420,175,43,2,11,-
奈良,58,14,6,-,-,-
和歌山,116,71,16,-,2,-
鳥取,45,43,15,1,-,-
島根,41,16,9,-,1,-
岡山,63,28,12,2,-,-
広島,147,114,19,1,1,1
山口,35,34,20,-,-,-
徳島,42,28,3,-,-,-
香川,32,12,5,1,1,-
愛媛,130,94,46,7,4,-
高知,44,21,13,-,1,-
福岡,382,157,31,1,1,-
佐賀,41,15,3,-,1,-
長崎,47,34,11,-,-,-
熊本,64,24,16,-,2,-
大分,25,33,9,1,-,-
宮崎,57,13,5,-,1,-
鹿児島,78,40,29,2,5,-
沖縄,32,13,11,-,3,-
