都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,590,109,63,2,4,-
青森,62,15,10,-,-,-
岩手,31,15,10,-,1,-
宮城,31,33,24,-,2,-
秋田,11,11,8,-,1,-
山形,34,16,10,-,-,-
福島,24,21,18,-,1,-
東京,199,186,187,8,10,-
茨城,34,24,15,-,-,-
栃木,27,20,17,1,1,-
群馬,32,18,13,-,1,-
埼玉,136,125,100,5,4,3
千葉,70,54,59,3,2,-
神奈川,99,92,78,3,8,1
新潟,36,31,21,1,-,-
山梨,8,7,7,-,-,-
長野,40,16,14,-,-,-
静岡,58,45,35,-,1,-
富山,15,3,4,-,-,-
石川,32,20,9,-,1,-
福井,6,6,6,-,-,-
岐阜,97,27,20,1,3,1
愛知,130,118,118,4,4,1
三重,34,35,15,-,1,-
滋賀,28,13,9,-,2,-
京都,52,44,45,11,4,4
大阪,250,235,237,10,10,1
兵庫,122,105,89,2,5,-
奈良,54,15,14,-,-,-
和歌山,38,12,11,-,1,-
鳥取,15,10,6,-,1,-
島根,14,12,11,1,-,-
岡山,39,35,28,-,2,-
広島,68,45,33,1,2,-
山口,21,17,16,-,1,-
徳島,17,17,7,-,1,-
香川,74,17,8,-,1,-
愛媛,43,14,12,2,-,-
高知,9,7,6,1,-,-
福岡,310,116,90,-,4,-
佐賀,25,23,8,-,2,-
長崎,41,21,14,-,1,-
熊本,24,19,16,1,2,-
大分,7,7,6,-,-,-
宮崎,35,17,7,1,-,-
鹿児島,10,10,9,-,-,-
沖縄,11,12,11,-,1,-
