都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,210,184,142,27,12,2
青森,30,27,27,3,2,-
岩手,23,27,20,2,1,-
宮城,58,44,50,2,8,-
秋田,14,13,14,1,3,-
山形,18,15,13,1,2,-
福島,42,28,23,2,2,1
東京,907,744,701,70,89,5
茨城,130,109,95,9,13,1
栃木,75,73,65,6,11,1
群馬,82,75,75,5,15,-
埼玉,536,431,349,28,77,3
千葉,418,288,251,19,51,-
神奈川,404,334,258,26,26,5
新潟,90,79,76,11,11,1
山梨,34,27,26,4,6,1
長野,68,53,48,5,13,-
静岡,166,145,136,11,11,-
富山,18,11,10,2,-,-
石川,29,25,23,1,4,1
福井,20,20,30,3,1,-
岐阜,71,54,52,6,19,4
愛知,402,310,279,27,39,2
三重,60,52,54,4,16,-
滋賀,45,35,30,4,7,-
京都,130,109,108,18,17,-
大阪,942,583,492,73,57,8
兵庫,317,231,224,30,38,3
奈良,56,45,23,4,2,1
和歌山,47,40,32,6,2,1
鳥取,16,15,11,-,-,-
島根,20,22,24,7,7,3
岡山,69,64,62,12,12,1
広島,115,101,96,16,23,2
山口,42,39,45,5,7,-
徳島,25,25,21,1,2,-
香川,46,41,50,2,9,-
愛媛,48,40,36,4,11,3
高知,32,26,23,5,4,-
福岡,305,242,250,19,52,5
佐賀,32,33,23,1,2,-
長崎,28,23,15,2,1,1
熊本,48,41,39,8,8,-
大分,33,34,24,3,4,1
宮崎,40,36,29,5,1,1
鹿児島,51,48,48,7,2,1
沖縄,61,60,58,6,3,4
