都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,5513,410,170,15,28,3
青森,646,42,22,2,2,-
岩手,582,62,25,4,7,-
宮城,2213,138,88,11,9,2
秋田,305,67,28,4,5,-
山形,619,84,43,2,9,1
福島,2187,226,64,5,15,2
東京,15839,1085,694,47,52,1
茨城,2955,222,126,11,27,2
栃木,1610,153,89,6,15,1
群馬,1825,193,89,9,17,-
埼玉,8314,679,422,29,54,3
千葉,6293,504,281,21,36,1
神奈川,3372,568,395,31,48,3
新潟,2224,348,129,9,18,1
山梨,543,54,17,3,5,-
長野,1626,199,65,3,10,-
静岡,2900,289,144,23,20,5
富山,779,38,17,2,3,-
石川,548,58,20,1,3,-
福井,557,75,34,3,6,-
岐阜,2774,181,76,7,21,2
愛知,12217,556,305,21,57,4
三重,2207,176,61,1,23,-
滋賀,1487,94,60,4,14,-
京都,3460,296,178,19,19,-
大阪,11336,747,480,44,89,8
兵庫,8638,653,388,46,87,7
奈良,1378,139,93,14,23,6
和歌山,1158,119,61,8,20,1
鳥取,395,74,29,4,9,1
島根,467,73,28,2,8,1
岡山,1665,258,119,12,30,2
広島,2729,282,155,14,38,4
山口,1246,110,72,9,19,1
徳島,613,42,23,3,8,2
香川,1009,117,38,4,11,1
愛媛,1614,73,51,7,12,2
高知,702,80,38,6,5,-
福岡,5331,303,219,21,51,1
佐賀,568,34,13,2,4,-
長崎,634,102,35,4,2,-
熊本,874,143,62,5,12,1
大分,559,62,32,2,5,-
宮崎,582,51,27,2,9,1
鹿児島,885,75,30,3,5,-
沖縄,840,175,140,13,23,4
