都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,71,36,31,8,1,1
青森,15,18,10,1,-,-
岩手,18,19,20,4,-,-
宮城,22,20,17,2,-,-
秋田,8,10,5,2,-,-
山形,16,17,13,2,-,-
福島,20,22,24,6,-,-
東京,159,115,107,14,1,-
茨城,43,28,34,8,-,-
栃木,37,21,17,2,-,-
群馬,34,18,14,4,-,-
埼玉,47,41,34,7,-,-
千葉,43,33,26,3,-,-
神奈川,66,42,41,5,2,-
新潟,42,29,24,5,2,1
山梨,4,5,5,4,-,-
長野,36,26,14,2,-,-
静岡,52,43,31,8,2,-
富山,22,11,5,1,-,-
石川,12,14,13,-,-,-
福井,9,10,8,4,-,-
岐阜,35,20,22,3,2,-
愛知,115,71,69,10,1,-
三重,33,33,32,5,-,-
滋賀,18,11,11,2,-,-
京都,34,34,27,5,-,-
大阪,220,129,151,19,3,-
兵庫,88,66,58,9,1,-
奈良,35,23,24,5,2,-
和歌山,23,12,11,-,-,-
鳥取,9,13,13,2,-,-
島根,10,12,11,3,1,1
岡山,16,21,15,1,-,-
広島,42,26,25,4,-,-
山口,14,14,13,3,-,-
徳島,12,6,4,1,-,-
香川,12,11,9,1,-,-
愛媛,49,29,25,4,2,-
高知,8,3,4,-,-,-
福岡,58,42,37,12,2,-
佐賀,16,15,10,2,1,-
長崎,22,17,12,2,-,-
熊本,13,9,9,-,-,-
大分,12,6,8,1,-,-
宮崎,7,6,7,1,-,-
鹿児島,16,11,9,2,-,-
沖縄,30,27,23,3,3,1
