都道府県,"
刑法犯認知件数",刑法犯検挙件数,刑法犯検挙人員,凶悪犯認知件数,凶悪犯検挙件数,凶悪犯検挙人員,粗暴犯認知件数,粗暴犯検挙件数,粗暴犯検挙人員,窃盗犯認知件数,窃盗犯検挙件数,窃盗犯検挙人員,知能犯認知件数,知能犯検挙件数,知能犯検挙人員,風俗犯認知件数,風俗犯検挙件数,風俗犯検挙人員,その他の刑法犯認知件数,その他の刑法犯検挙件数,その他の刑法犯検挙人員
北海道,"35,457","12,225","8,426",184,164,142,"2,173","1,822","1,880","23,784","7,498","4,378","1,126",588,447,958,274,177,"7,232","1,879","1,402"
青森,"5,486","2,392","1,680",35,36,26,421,328,342,"3,609","1,536","1,009",303,151,90,90,44,33,"1,028",297,180
岩手,"4,884","2,159","1,430",23,24,22,264,223,232,"3,421","1,518",918,244,116,88,81,53,29,851,225,141
宮城,"17,742","5,859","3,457",78,73,56,922,699,692,"12,714","3,785","1,905",989,511,269,229,170,79,"2,810",621,456
秋田,"3,154","1,903","1,423",24,24,24,303,300,311,"2,190","1,231",853,220,157,98,35,39,28,382,152,109
山形,"5,014","2,955","1,918",19,17,14,649,611,701,"3,428","1,886",916,233,185,112,44,24,21,641,232,154
福島,"12,791","4,447","2,641",45,49,45,711,551,545,"9,025","3,053","1,568",462,197,140,102,89,58,"2,446",508,285
東京,"148,182","43,516","32,627",757,694,664,"8,972","6,568","7,113","108,198","23,204","13,985","7,015","3,595","2,274","1,143",879,934,"22,097","8,576","7,657"
茨城,"29,085","8,896","5,141",143,124,116,"1,775","1,418","1,547","22,250","6,147","2,591",922,270,200,165,120,80,"3,830",817,607
栃木,"14,630","6,074","3,102",63,60,58,846,643,640,"10,793","4,333","1,642",757,447,341,73,55,45,"2,098",536,376
群馬,"16,275","7,931","4,644",74,71,69,"1,565","1,401","1,566","11,505","5,202","2,206",654,571,306,77,71,49,"2,400",615,448
埼玉,"73,456","19,056","13,260",382,313,290,"3,897","2,895","2,920","55,853","11,330","6,680","2,230","1,016",536,599,399,284,"10,495","3,103","2,550"
千葉,"61,656","17,799","11,164",276,253,236,"3,138","2,046","2,049","46,474","11,892","5,893","2,016",729,621,458,293,210,"9,294","2,586","2,155"
神奈川,"61,664","26,416","18,185",342,301,263,"4,593","3,697","3,984","46,785","17,016","9,781","2,486","1,326",724,816,716,544,"6,642","3,360","2,889"
新潟,"14,970","6,104","4,050",64,59,51,"1,126",981,"1,080","10,400","3,982","2,238",692,292,182,144,119,63,"2,544",671,436
山梨,"6,406","1,787","1,245",32,29,18,276,226,226,"5,175","1,219",793,168,88,43,45,21,20,710,204,145
長野,"11,502","4,461","2,785",55,48,53,561,499,547,"8,109","3,099","1,631",701,318,226,166,74,40,"1,910",423,288
静岡,"23,480","9,709","6,491",144,115,127,"1,876","1,628","1,718","16,615","6,204","3,431",879,496,391,229,173,127,"3,737","1,093",697
富山,"6,115","2,137","1,454",15,17,23,341,278,302,"4,171","1,376",824,389,203,98,32,17,16,"1,167",246,191
石川,"7,585","3,164","1,760",35,36,33,448,404,425,"5,880","2,267",981,352,171,120,82,68,24,788,218,177
福井,"3,880","1,953","1,284",27,29,29,289,290,291,"2,746","1,246",723,144,93,71,40,31,27,634,264,143
岐阜,"18,160","5,792","2,990",73,62,60,980,860,933,"13,138","4,083","1,515",768,348,163,148,61,43,"3,053",378,276
愛知,"76,663","22,299","15,393",354,274,270,"3,732","2,876","3,017","54,679","14,605","8,295","2,957","1,001",811,545,377,322,"14,396","3,166","2,678"
三重,"15,178","4,865","2,278",47,45,41,447,347,339,"11,448","3,526","1,434",599,486,147,96,79,54,"2,541",382,263
