都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,1198,590,404,80,13,2
青森,317,187,119,23,3,2
岩手,290,169,112,15,3,-
宮城,866,574,234,21,6,1
秋田,260,330,101,20,5,1
山形,212,160,106,13,5,-
福島,557,290,171,28,6,2
東京,8010,2869,2128,234,192,15
茨城,952,334,211,42,21,2
栃木,894,490,397,78,53,15
群馬,754,464,269,52,21,6
埼玉,2290,776,584,73,83,4
千葉,2163,682,449,53,39,3
神奈川,2916,1011,738,146,61,6
新潟,749,336,215,40,7,1
山梨,154,72,46,11,3,-
長野,743,407,225,59,61,26
静岡,978,630,433,79,14,2
富山,342,88,52,15,4,3
石川,325,170,85,11,4,-
福井,137,74,65,19,2,-
岐阜,902,281,174,22,15,4
愛知,2622,1033,707,107,75,19
三重,619,574,198,35,8,1
滋賀,676,214,157,27,7,-
京都,825,382,328,51,20,8
大阪,4377,1225,942,180,56,15
兵庫,2071,935,624,104,27,6
奈良,476,662,205,46,11,4
和歌山,268,148,118,12,4,1
鳥取,138,121,78,7,1,-
島根,177,139,80,13,8,2
岡山,677,331,193,37,12,4
広島,1102,451,285,61,24,4
山口,460,325,143,31,6,1
徳島,211,108,85,17,5,-
香川,497,241,106,32,5,4
愛媛,494,216,133,27,10,1
高知,264,130,72,12,5,-
福岡,1877,811,435,88,19,3
佐賀,259,152,120,17,14,3
長崎,457,236,134,26,3,2
熊本,348,171,166,24,19,3
大分,230,169,113,25,3,-
宮崎,257,149,108,23,5,1
鹿児島,202,168,96,14,1,-
沖縄,434,280,181,28,18,7
