都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,2386,1822,1867,149,175,11
青森,427,350,362,30,24,2
岩手,277,261,258,10,23,-
宮城,948,706,719,51,94,7
秋田,272,251,245,13,29,-
山形,683,651,758,119,55,5
福島,747,575,564,28,79,5
東京,8844,6215,6824,470,477,39
茨城,1548,1117,1146,91,164,9
栃木,1050,860,877,59,94,7
群馬,1583,1368,1481,208,111,16
埼玉,4391,3409,3511,221,352,29
千葉,3135,2116,2130,134,224,18
神奈川,4797,3900,4089,288,382,34
新潟,1142,1027,1072,127,74,2
山梨,275,216,239,20,43,8
長野,585,524,536,52,56,10
静岡,1629,1382,1403,99,153,21
富山,371,254,262,22,43,4
石川,369,360,386,41,46,3
福井,306,303,323,23,44,4
岐阜,968,801,864,85,97,5
愛知,3605,2547,2699,193,397,43
三重,493,333,342,16,74,3
滋賀,525,386,386,33,89,15
京都,1312,998,1084,86,143,17
大阪,6056,3464,3692,343,585,75
兵庫,3950,3054,3288,286,419,45
奈良,552,499,523,51,83,11
和歌山,654,569,634,77,88,22
鳥取,121,100,104,9,9,-
島根,150,132,127,6,15,1
岡山,1111,981,958,69,194,20
広島,1479,1167,1204,98,222,25
山口,581,450,450,38,54,8
徳島,203,169,166,12,30,3
香川,665,491,514,65,87,16
愛媛,639,554,600,49,77,8
高知,246,180,169,10,37,2
福岡,2831,1999,2151,207,331,54
佐賀,328,302,277,19,40,1
長崎,552,514,550,42,55,8
熊本,889,795,864,81,75,11
大分,343,297,321,20,44,6
宮崎,456,379,400,23,53,1
鹿児島,472,443,481,30,86,7
沖縄,868,719,718,25,117,4
