都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,1003,473,328,62,12,1
青森,287,155,99,20,3,2
岩手,270,148,90,11,3,-
宮城,786,513,207,18,6,1
秋田,236,304,87,18,5,1
山形,188,137,90,11,5,-
福島,510,248,134,19,4,1
東京,7357,2311,1677,132,170,13
茨城,862,276,145,26,20,1
栃木,836,448,363,71,53,15
群馬,680,415,241,44,21,6
埼玉,2114,665,517,57,80,3
千葉,1995,614,392,46,38,3
神奈川,2659,882,612,110,48,4
新潟,666,274,164,23,5,-
山梨,136,63,39,6,3,-
長野,690,372,198,55,61,26
静岡,879,546,361,60,10,1
富山,303,69,37,10,3,2
石川,291,141,67,10,4,-
福井,119,56,44,10,2,-
岐阜,841,245,136,14,11,2
愛知,2335,811,503,64,34,9
三重,557,509,148,25,7,1
滋賀,633,191,127,21,7,-
京都,739,316,270,42,17,7
大阪,3845,923,660,122,36,13
兵庫,1877,804,495,81,24,6
奈良,406,600,147,26,7,3
和歌山,221,122,89,9,4,1
鳥取,112,89,59,4,1,-
島根,156,122,66,10,7,1
岡山,627,287,166,33,11,3
広島,987,370,221,49,22,3
山口,419,269,109,18,5,-
徳島,183,94,76,16,4,-
香川,466,213,86,28,4,4
愛媛,429,176,92,19,6,1
高知,241,111,57,10,5,-
福岡,1693,703,352,71,16,3
佐賀,231,125,101,13,12,3
長崎,390,194,102,23,2,2
熊本,300,136,126,17,18,2
大分,203,155,99,22,3,-
宮崎,241,137,96,20,5,1
鹿児島,167,139,75,9,1,-
沖縄,357,214,139,23,15,6
