都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,23,8,3,-,-,-
青森,13,4,1,-,-,-
岩手,49,22,3,-,-,-
宮城,56,14,5,1,-,-
秋田,18,6,4,-,-,-
山形,41,41,4,1,-,-
福島,130,46,10,-,-,-
東京,141,55,35,2,6,-
茨城,78,30,20,2,1,-
栃木,48,13,12,-,-,-
群馬,170,79,8,-,-,-
埼玉,235,57,33,1,3,1
千葉,123,112,20,3,-,-
神奈川,60,33,21,-,-,-
新潟,143,95,14,-,1,-
山梨,36,20,7,3,-,-
長野,197,137,15,-,1,-
静岡,89,73,24,-,-,-
富山,42,14,5,1,-,-
石川,44,21,4,-,-,-
福井,32,13,2,-,-,-
岐阜,163,50,8,-,-,-
愛知,257,60,34,-,5,-
三重,95,46,6,1,1,-
滋賀,156,47,14,1,-,-
京都,79,14,14,1,-,-
大阪,87,18,15,-,-,-
兵庫,159,45,29,3,4,1
奈良,54,18,8,-,-,-
和歌山,51,11,8,1,-,-
鳥取,57,45,10,1,-,-
島根,166,162,15,1,-,-
岡山,75,30,22,-,6,-
広島,52,9,7,-,1,-
山口,46,13,6,-,-,-
徳島,60,51,14,1,4,-
香川,44,23,4,-,-,-
愛媛,97,39,9,-,1,-
高知,37,7,6,1,3,-
福岡,240,119,25,1,2,-
佐賀,41,16,9,-,-,-
長崎,45,28,12,-,-,-
熊本,73,30,14,-,3,-
大分,36,16,11,-,3,-
宮崎,27,12,4,-,-,-
鹿児島,41,23,3,-,2,-
沖縄,2,2,2,-,-,-
