都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,21,10,10,-,3,-
青森,2,2,2,-,1,-
岩手,-,1,-,-,-,-
宮城,6,3,2,-,-,-
秋田,1,1,2,-,1,-
山形,1,1,2,-,-,-
福島,1,1,2,-,-,-
東京,125,72,94,3,44,-
茨城,14,7,4,-,3,-
栃木,10,9,9,-,2,-
群馬,5,2,2,-,1,-
埼玉,93,50,58,-,30,-
千葉,59,27,39,-,23,-
神奈川,58,28,26,1,6,1
新潟,11,8,13,-,7,-
山梨,1,1,1,-,-,-
長野,5,6,7,-,5,-
静岡,7,3,2,-,-,-
富山,1,1,-,-,-,-
石川,4,4,1,-,-,-
福井,1,1,6,-,-,-
岐阜,9,10,16,3,10,3
愛知,58,24,26,-,11,-
三重,8,5,10,-,9,-
滋賀,2,-,1,-,-,-
京都,15,11,11,-,2,-
大阪,198,48,58,4,24,2
兵庫,60,23,18,-,4,-
奈良,2,1,-,-,-,-
和歌山,1,2,1,-,-,-
鳥取,-,-,-,-,-,-
島根,-,-,-,-,-,-
岡山,3,3,6,1,4,-
広島,10,5,8,-,5,-
山口,2,1,1,-,-,-
徳島,-,-,-,-,-,-
香川,1,2,3,-,-,-
愛媛,6,5,9,3,4,3
高知,4,2,2,-,2,-
福岡,51,36,38,-,16,-
佐賀,2,3,2,-,2,-
長崎,5,5,2,-,-,-
熊本,1,-,4,-,4,-
大分,2,-,-,-,-,-
宮崎,-,-,-,-,-,-
鹿児島,4,3,2,-,-,-
沖縄,2,1,2,-,-,-
