都道府県,認知件数,検挙件数,検挙人数,検挙人数_女,検挙人数_少年,検挙人数_少女
北海道,890,301,186,7,8,-
青森,125,49,31,2,1,-
岩手,90,53,30,1,4,-
宮城,219,162,72,2,9,1
秋田,36,30,19,-,1,-
山形,72,42,27,1,1,-
福島,93,62,51,-,7,-
東京,1394,1039,940,29,42,2
茨城,199,141,87,2,10,-
栃木,102,80,59,2,4,-
群馬,102,92,48,-,5,-
埼玉,706,480,304,6,35,3
千葉,464,314,205,9,16,1
神奈川,861,682,480,16,40,3
新潟,115,96,74,3,6,-
山梨,44,31,23,1,-,-
長野,111,62,46,2,5,1
静岡,231,145,117,2,11,-
富山,49,17,17,1,4,-
石川,106,88,28,1,2,-
福井,41,28,14,-,-,-
岐阜,179,75,41,1,6,1
愛知,583,398,366,24,23,3
三重,115,99,76,4,9,-
滋賀,115,65,42,-,6,-
京都,276,154,141,16,7,4
大阪,1535,714,663,30,48,2
兵庫,532,366,283,8,30,1
奈良,147,62,44,3,3,-
和歌山,90,54,89,11,2,-
鳥取,32,24,16,-,1,-
島根,41,23,27,1,2,-
岡山,133,118,101,1,6,-
広島,243,145,108,4,15,-
山口,69,58,50,-,6,-
徳島,45,43,21,2,4,-
香川,134,66,39,-,10,-
愛媛,226,146,109,2,3,-
高知,35,23,19,1,3,-
福岡,777,376,255,2,18,-
佐賀,65,64,27,-,6,-
長崎,97,54,36,1,3,-
熊本,111,86,92,7,9,3
大分,32,29,26,-,1,-
宮崎,102,47,25,1,4,-
鹿児島,54,49,44,5,1,-
沖縄,97,80,80,9,8,-
