しこ名履歴,体重,出身地,名前,名前読み,得意技,所属部屋,最高番付,本名,生年月日,番付,身長
玉鷲,174.0kg,モンゴル・ウランバートル,玉鷲 一朗,(たまわし いちろう),押し,片男波,,バトジャルガル・ムンフオリギル,昭和59年11月16日,前頭筆頭,188.0cm
旭秀鵬,147.0kg,モンゴル・ウランバートル,旭秀鵬 滉規,(きょくしゅうほう こうき),右四つ・寄り,友綱,,トゥムルバートル・エルデネバートル,昭和63年8月9日,十両二枚目,190.0cm
石橋 → 朝乃山,165.0kg,富山県富山市,朝乃山 英樹,(あさのやま ひでき),右四つ・寄り,高砂,,石橋 広暉,平成6年3月1日,前頭十一枚目,188.0cm
成田 → 豪風,150.0kg,秋田県北秋田市,豪風 旭,(たけかぜ あきら),突き・押し,尾車,,成田 旭,昭和54年6月21日,前頭十三枚目,171.0cm
大砂嵐,152.0kg,エジプト・ダカハレヤ,大砂嵐 金太郎,(おおすなあらし きんたろう),突き・押し,大嶽,,アブデラハム・アラー・エルディン・モハメッド・アハメッド・シャーラン,平成4年2月10日,十両十三枚目,189.0cm
誉富士,166.0kg,青森県西津軽郡鰺ヶ沢町,誉富士 歓之,(ほまれふじ よしゆき),突き・押し,伊勢ヶ濱,,三浦 歓之,昭和60年5月6日,十両筆頭,180.0cm
堀切 → 阿炎,132.0kg,埼玉県越谷市,阿炎 政虎,(あび まさとら),突き・押し,錣山,,堀切 洸助,平成6年5月4日,十両五枚目,187.0cm
臥牙丸,194.0kg,ジョージア・トビリシ,臥牙丸 勝,(ががまる まさる),押し,木瀬,,ジュゲリ・ティムラズ,昭和62年2月23日,十両十二枚目,185.0cm
琴菊次 → 琴奨菊,178.0kg,福岡県柳川市,琴奨菊 和弘,(ことしょうぎく かずひろ),左四つ・寄り,佐渡ヶ嶽,,菊次 一弘,昭和59年1月30日,小結,180.0cm
大輝 → 北勝富士,160.0kg,埼玉県所沢市,北勝富士 大輝,(ほくとふじ だいき),押し,八角,,中村 大輝,平成4年7月15日,前頭三枚目,185.0cm
大西 → 嘉風,145.0kg,大分県佐伯市,嘉風 雅継,(よしかぜ まさつぐ),突き・押し,尾車,,大西 雅継,昭和57年3月19日,関脇,177.0cm
川成 → 天風,202.0kg,香川県仲多度郡琴平町,天風 健人,(あまかぜ けんと),押し・左四つ・寄り,尾車,,川成 健人,平成3年7月7日,十両六枚目,185.0cm
明月院 → 千代大龍,190.0kg,東京都荒川区,千代大龍 秀政,(ちよたいりゅう ひでまさ),突き・押し,九重,,明月院 秀政,昭和63年11月14日,前頭二枚目,182.0cm
荒鷲,135.0kg,モンゴル・ホブド,荒鷲 毅,(あらわし つよし),右四つ・寄り・上手投げ,峰崎,,エレヘバヤル・ドゥルゴゥーン,昭和61年8月21日,前頭五枚目,185.0cm
熊谷 → 錦木,176.0kg,岩手県盛岡市,錦木 徹也,(にしきぎ てつや),押し,伊勢ノ海,,熊谷 徹也,平成2年8月25日,前頭十五枚目,186.0cm
竜電,149.0kg,山梨県甲府市,竜電 剛至,(りゅうでん ごうし),モロ差し・寄り,高田川,,渡邊 裕樹,平成2年11月10日,十両二枚目,190.0cm
逸ノ城,206.0kg,モンゴル・アルハンガイ,逸ノ城 駿,(いちのじょう たかし),右四つ・寄り,湊,,アルタンホヤグ・イチンノロブ,平成5年4月7日,前頭四枚目,191.0cm
若三勝 → 照ノ富士,187.0kg,モンゴル・ウランバートル,照ノ富士 春雄,(てるのふじ はるお),右四つ・寄り,伊勢ヶ濱,,ガントルガ・ガンエルデネ,平成3年11月29日,関脇,192.0cm
達 → 輝,160.0kg,石川県七尾市,輝 大士,(かがやき たいし),突き・押し,高田川,,達 綾哉,平成6年6月1日,前頭十二枚目,193.0cm
萩原 → 稀勢の里,184.0kg,茨城県牛久市,稀勢の里 寛,(きせのさと ゆたか),左四つ・寄り・突き,田子ノ浦,,萩原 寛,昭和61年7月3日,横綱,187.0cm
阿武咲,165.0kg,青森県北津軽郡中泊町,阿武咲 奎也,(おうのしょう ふみや),突き・押し,阿武松,,打越 奎也,平成8年7月4日,小結,176.0cm
高西 → 大翔栄 → 大栄翔,154.0kg,埼玉県朝霞市,大栄翔 勇人,(だいえいしょう はやと),突き・押し,追手風,,高西 勇人,平成5年11月10日,前頭九枚目,182.0cm
