年次,出生数,合計特殊出生率
1947,267879,4.54
1948,268162,4.4
1949,269664,4.32
1950,233751,3.65
1951,213769,3.26
1952,200516,2.98
1953,186804,2.69
1954,176958,2.48
1955,173069,2.37
1956,166528,2.22
1957,156671,2.04
1958,165347,2.11
1959,162609,2.04
1960,160604,2
1961,158937,1.96
1962,161862,1.98
1963,165952,2
1964,171676,2.05
1965,182370,2.14
1966,136097,1.58
1967,193565,2.23
1968,187184,2.13
1969,188982,2.13
1970,193424,2.13
1971,200097,2.16
1972,203868,2.14
1973,209198,2.14
1974,202999,2.05
1975,190144,1.91
1976,183262,1.85
1977,175510,1.8
1978,170864,1.79
1979,164258,1.77
1980,157689,1.75
1981,152946,1.74
1982,151539,1.77
1983,150869,1.8
1984,148978,1.81
1985,143158,1.76
1986,138295,1.72
1987,134666,1.69
1988,131401,1.66
1989,124680,1.57
1990,122159,1.54
1991,122325,1.53
1992,120899,1.5
1993,118828,1.46
1994,123833,1.5
1995,118706,1.42
1996,120656,1.43
1997,119167,1.39
1998,120315,1.38
1999,117767,1.34
2000,119055,1.36
2001,117066,1.33
2002,115386,1.32
2003,112383,1.29
2004,111072,1.29
2005,106253,1.26
2006,109267,1.32
2007,108981,1.34
2008,109115,1.37
2009,107004,1.37
2010,107130,1.39
2011,105081,1.39
2012,103710,1.41
2013,102982,1.43
