都道府県,男,女,計,世帯数
北海道,"10,776","14,223","24,999","16,376"
青森県,"1,575","2,632","4,207","2,316"
岩手県,"1,905","3,958","5,863","3,141"
宮城県,"7,906","9,473","17,379","10,068"
秋田県,"1,077","2,502","3,579","1,827"
山形県,"1,466","4,585","6,051","2,392"
福島県,"4,007","6,838","10,845","5,140"
茨城県,"26,827","26,164","52,991","27,990"
栃木県,"15,726","17,819","33,545","16,610"
群馬県,"22,219","22,576","44,795","21,795"
埼玉県,"64,171","72,352","136,523","62,432"
千葉県,"55,048","65,181","120,229","57,611"
東京都,"216,956","232,086","449,042","248,128"
神奈川県,"81,823","92,604","174,427","77,597"
新潟県,"5,262","8,551","13,813","6,685"
富山県,"6,142","7,555","13,697","7,290"
石川県,"5,517","5,831","11,348","7,215"
福井県,"4,769","7,197","11,966","6,637"
山梨県,"5,897","7,872","13,769","6,350"
長野県,"12,313","18,139","30,452","13,231"
岐阜県,"19,463","24,677","44,140","23,146"
静岡県,"34,374","38,315","72,689","34,266"
愛知県,"96,382","105,330","201,712","99,202"
三重県,"20,320","21,310","41,630","21,909"
滋賀県,"12,000","11,839","23,839","11,979"
京都府,"25,117","27,859","52,976","30,190"
大阪府,"98,247","109,091","207,338","110,003"
兵庫県,"45,979","51,065","97,044","49,446"
奈良県,"4,941","5,913","10,854","5,572"
和歌山県,"2,238","3,744","5,982","2,978"
鳥取県,"1,333","2,558","3,891","2,089"
島根県,"2,730","3,551","6,281","3,749"
岡山県,"9,630","12,518","22,148","13,878"
広島県,"20,181","22,042","42,223","25,512"
山口県,"6,201","7,545","13,746","8,168"
徳島県,"1,558","3,393","4,951","3,234"
香川県,"4,752","4,910","9,662","6,384"
愛媛県,"4,778","5,346","10,124","7,282"
高知県,"1,755","1,913","3,668","2,244"
福岡県,"29,671","30,026","59,697","38,331"
佐賀県,"1,794","2,749","4,543","2,919"
長崎県,"6,103","4,461","10,564","7,927"
熊本県,"3,862","6,744","10,606","6,499"
大分県,"4,605","5,796","10,401","7,352"
宮崎県,"1,689","2,844","4,533","2,861"
鹿児島県,"2,006","5,126","7,132","4,184"
沖縄県,"7,150","5,425","12,575","6,653"
