年,タイム,風速,選手,国,場所,日付
1968,11.21,0,ワイオミア・タイアス,アメリカ合衆国,メキシコシティ,1968-10-14
1968,11.12,0.6,バーバラ・フェレル,アメリカ合衆国,メキシコシティ,1968-10-14
1968,11.08,1.2,ワイオミア・タイアス,アメリカ合衆国,メキシコシティ,1968-10-15
1972,11.07,-0.2,レナーテ・シュテヒャー,東ドイツ,ミュンヘン,1972-09-02
1973,11.07,1.8,レナーテ・シュテヒャー,東ドイツ,ドレスデン,1973-07-20
1976,11.04,0.6,インゲ・ヘルテン,西ドイツ,フュルト,1976-06-13
1976,11.01,0.6,アンネグレート・リヒター,西ドイツ,モントリオール,1976-07-25
1977,10.88,2,マルリース・エルスナー,東ドイツ,ドレスデン,1977-07-01
1978,10.94,1.4,マルリース・ゲール,東ドイツ,ドレスデン,1978-08-12
1979,10.97,0.8,マルリース・ゲール,東ドイツ,ドレスデン,1979-06-13
1979,10.97,0.9,エベリン・アシュフォード,アメリカ合衆国,ウォルナット,1979-06-16
1980,10.93,2,マルリース・ゲール,東ドイツ,ドレスデン,1980-05-24
1981,10.9,0.6,エベリン・アシュフォード,アメリカ合衆国,コロラドスプリングス,1981-07-22
1982,10.88,1.9,マルリース・ゲール,東ドイツ,ケムニッツ,1982-07-06
1983,10.81,0,マルリース・ゲール,東ドイツ,ベルリン,1983-06-08
1983,10.79,0.6,エベリン・アシュフォード,アメリカ合衆国,コロラドスプリングス,1983-07-03
1984,10.76,1.7,エベリン・アシュフォード,アメリカ合衆国,チューリッヒ,1984-08-22
1985,10.86,2,マルリース・ゲール,東ドイツ,ベルリン,1985-09-22
1986,10.88,1.9,エベリン・アシュフォード,アメリカ合衆国,リエーティ,1986-09-07
1987,10.86,0.8,アネリア・ヌネヴァ,ブルガリア,ベオグラード,1987-06-17
1987,10.86,0.6,ジルケ・メラー,東ドイツ,ポツダム,1987-08-20
1988,10.49,0,フローレンス・グリフィス＝ジョイナー,アメリカ合衆国,インディアナポリス,1988-07-16
1989,10.78,1,ドーン・ソウェル,アメリカ合衆国,プロボ,1989-06-03
1990,10.78,1.7,マリーン・オッティ,ジャマイカ,セビリア,1990-05-30
1991,10.79,1.7,マリーン・オッティ,ジャマイカ,ビーゴ,1991-07-23
1992,10.8,1.6,マリーン・オッティ,ジャマイカ,サラマンカ,1992-07-13
1993,10.82,1.5,ゲイル・ディバース,アメリカ合衆国,ローザンヌ,1993-07-07
1993,10.82,0.3,マリーン・オッティ,ジャマイカ,シュトゥットガルト,1993-08-16
1994,10.77,0.9,イリーナ・プリワロワ,ロシア,ローザンヌ,1994-07-06
1995,10.84,1.4,グウェン・トーレンス,アメリカ合衆国,イェーテボリ,1995-08-07
1996,10.74,1.3,マリーン・オッティ,ジャマイカ,ミラノ,1996-09-07
1997,10.76,0.9,マリオン・ジョーンズ,アメリカ合衆国,ブリュッセル,1997-08-22
1998,10.65,1.1,マリオン・ジョーンズ,アメリカ合衆国,ヨハネスブルグ,1998-09-12
1999,10.7,-0.1,マリオン・ジョーンズ,アメリカ合衆国,セビリア,1999-08-22
2000,10.78,1.1,マリオン・ジョーンズ,アメリカ合衆国,ロンドン,2000-08-05
2001,10.82,-0.3,ザンナ・ブロック,ウクライナ,エドモントン,2001-08-06
2002,10.83,0.4,ザンナ・ブロック,ウクライナ,ヒュースデン＝ゾルダー,2002-07-20
2003,10.86,1.2,クリスティ・ゲインズ,アメリカ合衆国,モナコ,2003-09-14
2004,10.77,0.7,イベット・ラロワ,ブルガリア,プロヴディフ,2004-06-16
2005,10.84,1.9,チャンドラ・スターラップ,バハマ,ローザンヌ,2005-07-05
2006,10.82,-0.7,シェローン・シンプソン,ジャマイカ,キングストン,2006-06-24
2007,10.89,1,ベロニカ・キャンベル,ジャマイカ,キングストン,2007-06-23
2008,10.78,1.8,トーリ・エドワーズ,アメリカ合衆国,ユージーン,2008-06-28
2008,10.78,0,シェリー＝アン・フレーザー,ジャマイカ,北京,2008-08-17
2009,10.64,1.2,カーメリタ・ジーター,アメリカ合衆国,上海,2009-09-20
2010,10.78,0.8,ベロニカ・キャンベル＝ブラウン,ジャマイカ,ユージーン,2010-07-03
2011,10.7,2,カーメリタ・ジーター,アメリカ合衆国,ユージーン,2011-06-04
2012,10.7,0.6,シェリー＝アン・フレーザー＝プライス,ジャマイカ,キングストン,2012-06-29
2013,10.71,-0.3,シェリー＝アン・フレーザー＝プライス,ジャマイカ,モスクワ,2013-08-12
2014,10.8,0.8,トリ・ボウイ,アメリカ合衆国,モナコ,2014-07-18
2015,10.74,0.2,シェリー＝アン・フレーザー＝プライス,ジャマイカ,パリ,2015-07-04
2016,10.7,0.3,エレーン・トンプソン,ジャマイカ,キングストン,2016-07-01
