日付,優勝者,タイム
1981-03-29,ジョイス・スミス(GBR),02:29:57
1982-05-09,ジョイス・スミス(GBR)-2-,02:29:43
1983-04-17,グレテ・ワイツ(NOR),02:25:29
1984-05-13,イングリッド・クリスチャンセン(NOR),02:24:26
1985-04-21,イングリッド・クリスチャンセン(NOR)-2-,02:21:06
1986-04-20,グレテ・ワイツ(NOR)-2-,02:24:54
1987-04-10,イングリッド・クリスチャンセン(NOR)-3-,02:22:48
1988-04-17,イングリッド・クリスチャンセン(NOR)-4-,02:25:41
1989-04-23,ベロニク・マロー(GBR),02:25:56
1990-04-22,ワンダ・パンフィル(POL),02:26:31
1991-04-21,ロザ・モタ(PRT),02:26:14
1992-04-12,カトリン・ドーレ(GER),02:29:39
1993-04-18,カトリン・ドーレ(GER)-2-,02:27:09
1994-04-17,カトリン・ドーレ(GER)-3-,02:32:34
1995-04-02,マルゴザタ・ソバンスカ(POL),02:27:43
1996-04-21,リズ・マッコルガン(GBR),02:27:54
1997-04-13,ジョイス・チェプチュンバ(KEN),02:26:51
1998-04-26,キャサリーナ・マッキナーン(IRL),02:26:26
1999-04-18,ジョイス・チェプチュンバ(KEN)-2-,02:23:22
2000-04-16,テグラ・ロルーペ(KEN),02:24:33
2001-04-22,デラルツ・ツル(ETH),02:23:57
2002-04-14,ポーラ・ラドクリフ(GBR),02:18:56
2003-04-13,ポーラ・ラドクリフ(GBR)-2-,02:15:25
2004-04-18,マーガレット・オカヨ(KEN),02:22:35
2005-04-17,ポーラ・ラドクリフ(GBR)-3-,02:17:42
2006-04-23,ディーナ・カスター(USA),02:19:36
2007-04-22,周春秀(CHN),02:20:38
2008-04-13,イリーナ・ミキテンコ(GER),02:24:14
2009-04-26,イリーナ・ミキテンコ(GER)-2-,02:22:11
2010-04-25,リリア・ショブホワ(RUS),02:22:00
2011-04-17,メアリー・ケイタニー(KEN),02:19:19
2012-04-22,メアリー・ケイタニー(KEN)-2-,02:18:37
2013-04-21,プリスカ・ジェプトゥー(KEN),02:20:15
2014-04-13,エドナ・キプラガト(KEN),02:20:21
2015-04-26,ティギスト・トゥファ(ETH),02:23:22
2016-04-24,ジェミマ・スムゴング(KEN),02:22:58
2017-04-23,メアリー・ケイタニー(KEN)-3-,02:17:01
