日付,優勝者,タイム
1981-03-29,"ディック・ベアズレー(USA),インゲ・シモンセン(NOR)",02:11:48
1982-05-09,ヒュー・ジョーンズ(GBR),02:09:24
1983-04-17,マイク・グラットン(GBR),02:09:43
1984-05-13,チャーリー・スペディング(GBR),02:09:57
1985-04-21,スティーブ・ジョーンズ(GBR),02:08:16
1986-04-20,瀬古利彦(JPN),02:10:02
1987-04-10,谷口浩美(JPN),02:09:50
1988-04-17,ヘンリク・ヨルゲンセン(DNK),02:10:20
1989-04-23,ダグラス・ワキウリ(KEN),02:09:03
1990-04-22,アリスター・ハットン(GBR),02:10:10
1991-04-21,ヤコブ・トルスティコフ(SSR),02:09:17
1992-04-12,アントニオ・ピント(PRT),02:10:02
1993-04-18,イーモン・マーティン(GBR),02:10:50
1994-04-17,ディオニシオ・セロン(MEX),02:08:53
1995-04-02,ディオニシオ・セロン(MEX)-2-,02:08:30
1996-04-21,ディオニシオ・セロン(MEX)-3-,02:10:00
1997-04-13,アントニオ・ピント(PRT)-2-,02:07:55
1998-04-26,アベル・アントン(ESP),02:07:57
1999-04-18,アブデルハデル・エルムージス(MAR),02:07:57
2000-04-16,アントニオ・ピント(PRT)-3-,02:06:36
2001-04-22,アブデルハデル・エルムージス(MAR)-2-,02:07:09
2002-04-14,ハーリド・ハヌーシ(USA),02:05:38
2003-04-13,ゲザハン・アベラ(ETH),02:07:56
2004-04-18,エバンス・ルット(KEN),02:06:18
2005-04-17,マーティン・レル(KEN),02:07:35
2006-04-23,フェリックス・リモ(KEN),02:06:39
2007-04-22,マーティン・レル(KEN)-2-,02:07:41
2008-04-13,マーティン・レル(KEN)-3-,02:05:15
2009-04-26,サムエル・ワンジル(KEN),02:05:10
2010-04-25,ツェガエ・ケベデ(ETH),02:05:19
2011-04-17,エマニュエル・ムタイ(KEN),02:04:40
2012-04-22,ウィルソン・キプサング(KEN),02:04:44
2013-04-21,ツェガエ・ケベデ(ETH)-2-,02:06:04
2014-04-13,ウィルソン・キプサング(KEN)-2-,02:04:29
2015-04-26,エリウド・キプチョゲ(KEN),02:04:42
2016-04-24,エリウド・キプチョゲ(KEN)-2-,02:03:05
2017-04-23,ダニエル・ワンジル(KEN),02:05:47
